source_id,label,verdict,why,department,recommendation,government_words,url
5631,7,in part or in principle,verdict 343 characters in,Education and Employment References Committee,"The committee recommends that the Australian Government work with state and territory governments to identify ways to improve awareness and understanding of school refusal—once a nationally agreed definition has been established—within the health sector, with a particular focus on general practice, ","The Government acknowledges responsibility of this recommendation sits with both the Australian Government and state and territory education authorities and the non-government school sector and has referred this recommendation to state and territory education authorities and the non-government school sector for consideration. The Government supports this recommendation in-principle, noting the cou",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5631
8011,11,in part or in principle,verdict 265 characters in; names recommendation 10,Office for Sport,"The committee recommends that the Australian Government consider developing a national strategy to reduce the incidence and impacts of concussion, including binding return to play protocols and other rules to protect sport participants from head injuries. Consideration should be given to whether any","The Government notes recommendation nine as it does not have responsibility for the matters outlined in this recommendation. The Government will support a proactive approach to raise awareness of these recommendations to professional sporting codes. The Government agrees in principle with the recommendations 10 and 11. The Concussion and Brain Health Position Statement 2024, developed by the ASC, ",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/8011
8264,4,accepted,verdict 213 characters in,Department of Foreign Affairs and Trade ,The Committee supports the Indo-Pacific Economic Framework for Prosperity Agreement relating to Supply Chain Resilience and recommends that binding treaty action be taken,The Government welcomes the Committee’s agreement that binding treaty action be taken in relation to the Indo-Pacific Economic Framework for Prosperity Agreement relating to Supply Chain Resilience. Australia has implemented this recommendation and ratified the Agreement on 12 September 2024,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/8264
856,4,accepted,names recommendation 1,,The Committee recommends that the Australian Government: Seek to legislate a prohibition on agreements that restrict Traditional Owners from publicly raising concerns about heritage protection or exercising their rights under heritage legislation,Agreed. This is addressed in the Australian Government’s response to Recommendations 1 and 4 of A Way Forward. The co-design process described in the “Overarching approach” section will explore the barriers to First Nations peoples seeking cultural heritage protections. This will include consideration of the ways in which agreements between two parties have contractual mechanisms that limit or pro,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/856
856,5,in part or in principle,names recommendation 1,,The Committee recommends that the Australian Government endorse and commit to implementing Dhawura Ngilan: A Vision for Aboriginal and Torres Strait Islander Heritage in Australia,"Agreed in principle. Dhawura Ngilan was written by the Heritage Chairs of Australia and New Zealand to offer a way to inform policy, underpin legislative change and inspire actions for First Nations cultural heritage. Some of its recommendations are outside of the Australian Government’s responsibilities, however, the Australian Government supports Dhawura Ngilan in principle and is taking its fin",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/856
856,7,accepted,names recommendation 1,,The Committee recommends that the Australian Government urgently review the adequacy of the Aboriginal and Torres Strait Islander Heritage Protection Act 1984,Agreed. This will be addressed in the Australian Government’s response to Recommendations 1 and 3 of A Way Forward. The Australian Government recognises the limitations of the ATSIHP Act and is committed to developing new standalone cultural heritage legislation. In developing this legislation we will be considering the adequacy of the ATSIHP Act. Australian Government response on Juukan Gorge 19 ,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/856
8768,5,not accepted,names recommendation 1,Department of Home Affairs,"It is recommended that the Senate not pass the Bill in its current form, but that further work be undertaken to develop a Pacific Engagement Visa which takes into account the above recommendations and the legitimate concerns raised by key stakeholders during the course of this inquiry",The Government does not support this recommendation. The Government has considered this recommendation as part of broader considerations discussed in response to recommendations 1 to 4. Additional Comments from Senator Nick McKim,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/8768
9326,35,accepted,names recommendation 26,Department of Health and Aged Care,"The Committee recommends the Department of Health and Aged Care work with jurisdictions and the health sector to implement options for targeted public awareness and sexual health literacy campaigns in target communities, including for the LGBTIQA+ community, community-led initiatives for First Natio","The Australian Government supports this recommendation. As outlined in the response to recommendations 26 and 27, the Government has committed to community investment to support LGBTIQA+ health literacy in implementing the LGBTIQA+ Health and Wellbeing Action Plan. A national STI campaign, titled ‘Beforeplay’, launched on 14 January 2024 and aims to educate and raise awareness of STI prevention, w",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/9326
974,14,in part or in principle,names recommendation 18,,"The committee recommends that the Australian Government convenes a Ministerial Taskforce, together with an Expert Working Group including a representative of both custodial and non-custodial parents, to examine any of the issues raised regarding the Child Support Scheme which the taskforce considers","Agreed in principle. The Government agrees to establish a Child Support Expert Panel to provide expert oversight and review of the Government’s implementation of Committee recommendations 18 and 19. The Child Support Expert Panel would consider updated costs of children research and make recommendations on how to integrate the findings into the child support formula, including consideration of fig",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/974
974,2,in part or in principle,names recommendation 1,,"The committee recommends the Australian Government fully implements recommendations 1 and 18 made by the House of Representatives’ Standing Committee on Social Policy and Legal Affairs in 2015 in its report, From Conflict to Cooperation: Inquiry into the Child Support Program, by 31 December 2021","Agreed in principle. Recommendations 1 and 18 of the 2015 Inquiry were for Services Australia to assess demographic data to better target service delivery, and educate parents on their ability to nominate a preferred communication channel. The Government agrees to identify further 8 opportunities to improve the collection and use of demographic data and the information available to child support c",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/974
