response_id,response_tabled,classification,query,best_candidate_id,best_candidate_tabled,best_candidate_title,score_normalised,verdict,note
5753,2024-05-02,proforma_closure,Retirement of coal fired power stations - Interim Report,388,2022-09-30,"Report No. 139—Financial services legislation—Interim report B, September 2022",0.17,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5759,2024-05-02,proforma_closure,Stability and Affordability: Forging a path to Australia's renewable energy future,11385,2023-03-06,Your Future Planning: Interim report on ParentsNext [February 2023],0.14,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5812,2024-05-09,proforma_closure,A National Disgrace: The Exploitation of Temporary Work Visa Holders,3806,2023-10-18,Fair Work Commission Annual Report 2022-23,0.14,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5814,2024-05-09,proforma_closure,Lessons to be learned in relation to the Australian bushfire season 2019-20,76,2022-07-28,Additional estimates 2019-20,0.17,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5815,2024-05-09,proforma_closure,Issues facing diaspora communities in Australia,1776,2023-05-09,General issues 2021 [correction],0.25,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5817,2024-05-09,proforma_closure,Migration Amendment (Clarification of Jurisdiction) Bill 2018,264,2022-09-08,Additional estimates 2018-19,0.25,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5818,2024-05-09,proforma_closure,Migration Amendment (Strengthening the Character Test) Bill 2021 [Provisions],3172,2023-08-31,Migration Amendment (Strengthening Employer Compliance) Bill 2023 [Provisions] [August 2023],0.40,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5821,2024-05-09,proforma_closure,Migration and Citizenship Legislation Amendment (Strengthening Information Provisions) Bill 2020 [Provisions],3172,2023-08-31,Migration Amendment (Strengthening Employer Compliance) Bill 2023 [Provisions] [August 2023],0.40,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5829,2024-05-09,proforma_closure,Migration and Maritime Powers Legislation Amendment (Resolving the Asylum Legacy Caseload) Bill 2014 [Provisions],3172,2023-08-31,Migration Amendment (Strengthening Employer Compliance) Bill 2023 [Provisions] [August 2023],0.12,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5830,2024-05-09,proforma_closure,National Emergency Declaration Act 2020,1088,2023-02-08,National Emergency (2022 New South Wales Floods) Declaration 2022,0.38,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5831,2024-05-09,proforma_closure,New Skilled Regional Visas (Consequential Amendments) Bill 2019 [Provisions],3921,2023-10-23,Nature Repair Market Bill 2023 [Provisions] and Nature Repair Market (Consequential Amendments) Bill 2023 [Provisions],0.29,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5833,2024-05-09,proforma_closure,Effectiveness of the current temporary skilled visa system in targeting genuine skills shortages,11401,2022-07-27,"Final report: Care, dignity and respect—Volume 2: The current system—Document presented by Ms Wells, 27 July 2022",0.17,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5835,2024-05-09,proforma_closure,Australia's Skilled Migration Program,,,,0.00,no candidate,the search returns no committee document tabled before the response
5836,2024-05-09,proforma_closure,Efficacy of current regulation of Australian migration and education agents,3638,2023-10-11,Higher Education Support Amendment (Response to the Australian Universities Accord Interim Report) Bill 2023 [Provisions] [October 2023],0.14,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5837,2024-05-09,proforma_closure,Review processes associated with visa cancellations made on criminal grounds,3423,2023-09-14,Review of the 2023 relisting of three organisations as terrorist organisations under the Criminal Code,0.22,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5838,2024-05-09,proforma_closure,Working Holiday Maker Program,,,,0.00,no candidate,the search returns no committee document tabled before the response
5839,2024-05-09,proforma_closure,Ways of protecting and strengthening Australia’s multiculturalism and social inclusion,2848,2023-07-24,Social Services and Other Legislation Amendment (Strengthening the Safety Net) Bill 2023 [July 2023],0.33,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5840,2024-05-09,proforma_closure,Temporary Migration Final Report,3456,2023-09-29,Disability services [Final report - volume 10],0.25,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5844,2024-05-09,proforma_closure,"Public Governance, Performance and Accountability Amendment (Tax Transparency in Procurement and Grants) Bill 2019",5371,2024-03-18,"Public Governance, Performance and Accountability Amendment (Vaccine Indemnity) Bill 2023",0.44,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5845,2024-05-10,proforma_closure,Social Security Legislation Amendment (Streamlined Participation Requirements and Other Measures) Bill 2021 [Provisions],3169,2023-08-31,Social Security and Other Legislation Amendment (Miscellaneous Measures) Bill 2023 [Provisions] [August 2023],0.33,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5846,2024-05-10,proforma_closure,ParentsNext: examination of Social Security (Parenting payment participation requirements – class of persons) Instrument 2021,417,2022-10-13,"Appropriations, Staffing and Security Committee annual report 2021–22 - October 2022",0.17,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5853,2024-05-10,proforma_closure,Telling Australia’s story – and why it’s important: Report on the inquiry into Canberra’s national institutions,11164,2023-12-07,Australian food story: Feeding the nation and beyond: Inquiry into food security in Australia,0.14,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5893,2024-05-14,proforma_closure,Advisory report on the Commonwealth Electoral Amendment (Real Time Disclosure of Political Donations) Bill 2019,63,2022-07-27,"Report 488: Commonwealth financial statements 2019-20—Report, March 2022",0.22,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5896,2024-05-14,proforma_closure,Commonwealth Electoral Amendment (Lowering the Donation Disclosure Threshold) Bill 2019,63,2022-07-27,"Report 488: Commonwealth financial statements 2019-20—Report, March 2022",0.29,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5897,2024-05-14,proforma_closure,Report on the Candidate Qualification Checklist,44,2022-07-26,Qualification checklists for elected senators: 2022 Federal election,0.14,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5898,2024-05-14,proforma_closure,Advisory report on the Commonwealth Electoral Amendment (Ensuring Fair Representation of the Northern Territory) Bill 2020,222,2022-09-06,Commonwealth Grants Commission annual report 2020-21—Replacement,0.22,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5899,2024-05-14,proforma_closure,Interim report on the inquiry into the conduct of the 2013 Federal Election: Senate voting practices,2565,2023-06-20,Conduct of the 2022 federal election and other matters [Interim report - June 2023],0.50,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5900,2024-05-14,substantive,Second interim report on the inquiry into the conduct of the 2013 federal election: An assessment of electronic voting options,2565,2023-06-20,Conduct of the 2022 federal election and other matters [Interim report - June 2023],0.40,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5901,2024-05-14,proforma_closure,The 2013 Federal Election: Report on all aspects of the conduct of the 2013 election and matters related thereto,2565,2023-06-20,Conduct of the 2022 federal election and other matters [Interim report - June 2023],0.50,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5902,2024-05-14,proforma_closure,Third interim report on the inquiry into the conduct of the 2016 federal election: AEC modernisation,2565,2023-06-20,Conduct of the 2022 federal election and other matters [Interim report - June 2023],0.50,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5903,2024-05-14,proforma_closure,Excluded: The impact of section 44 on Australian democracy,4191,2023-11-16,Supporting democracy in our region [November 2023],0.25,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5904,2024-05-14,proforma_closure,Report on the conduct of the 2016 federal election and matters related thereto,4324,2023-11-29,Conduct of the 2022 federal election and other matters [November 2023],0.67,below the bar,a candidate exists but the titles differ by more than a bracketed date
5905,2024-05-14,proforma_closure,Report on the conduct of the 2019 federal election and matters related thereto,4324,2023-11-29,Conduct of the 2022 federal election and other matters [November 2023],0.67,below the bar,a candidate exists but the titles differ by more than a bracketed date
5907,2024-05-14,substantive,"Interim report on all aspects of the conduct of the 2019 Federal Election and matters related thereto Delegation to the International Grand Committee, Dublin, Ireland",2565,2023-06-20,Conduct of the 2022 federal election and other matters [Interim report - June 2023],0.36,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5909,2024-05-14,proforma_closure,Inquiry into factors contributing to the growth and sustainability of the Australian music industry,1379,2023-03-17,5-year Productivity Inquiry: Keys to growth Inquiry report – volume 2 [Report no. 100 - 7 February 2023],0.12,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5912,2024-05-14,proforma_closure,Sculpting a National Cultural Plan: Igniting a post-COVID economy for the arts,5851,2024-05-09,National Cultural Policy: Interim report,0.22,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5913,2024-05-14,substantive,Strengthening Australia’s Relationships in the Pacific,5719,2024-05-01,Strengthening Australia's approach to trade negotiations [April 2024],0.25,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5915,2024-05-14,proforma_closure,Smart farming - inquiry into agricultural innovation,1382,2023-03-17,5-year Productivity Inquiry: Innovation for the 98% Inquiry report – volume 5 [Report no. 100 - 7 February 2023],0.14,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5917,2024-05-14,partial_proforma,Growing Australia,,,,0.00,no candidate,the search returns no committee document tabled before the response
5918,2024-05-14,proforma_closure,Review of Part 14 of the Telecommunications Act 1997 – Telecommunications Sector Security Reforms,66,2022-07-27,"Report 491: Review of the Auditor-General Act 1997—Report, March 2022",0.29,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5919,2024-05-14,proforma_closure,Aussie logs for Aussie jobs: Inquiry into timber supply chain constraints in the Australian plantation sector,,,,0.00,no candidate,the search returns no committee document tabled before the response
5921,2024-05-14,proforma_closure,Supporting a strong future for Australian aquaculture: Inquiry into the Australian aquaculture sector,5565,2024-03-27,"Recognising, valuing and  supporting unpaid carers: Inquiry into the recognition of unpaid carers",0.17,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5922,2024-05-14,proforma_closure,Security Legislation Amendment (Critical Infrastructure) Bill 2020 and Statutory Review of the Security of Critical Infrastructure Act 2018,5459,2024-03-21,Advisory Report on the National Security Legislation Amendment (Comprehensive Review and Other Measures No. 3) Bill 2023 [March 2024],0.29,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5923,2024-05-14,proforma_closure,Security Legislation Amendment (Critical Infrastructure Protection) Bill 2022,769,2022-11-17,Offshore Electricity Infrastructure Legislation Amendment Bill 2022 [Provisions],0.40,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5924,2024-05-14,proforma_closure,Powering Our Future,1681,2023-03-30,Housing Australia Future Fund Bill 2023 [Provisions] and related bills,0.25,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5926,2024-05-14,proforma_closure,Broadcasting Legislation Amendment (2021 Measures No. 1) Bill 2021,377,2022-09-28,Standing Committee for the Scrutiny of Delegated Legislation annual report for 2021,0.20,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5927,2024-05-14,proforma_closure,Participation of Australians in online poker,11383,2023-08-02,"You win some, you lose more: Online gambling and its impacts on those experiencing gambling harm",0.09,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5929,2024-05-14,proforma_closure,Commonwealth Electoral Amendment (Banning Dirty Donations) Bill 2020,222,2022-09-06,Commonwealth Grants Commission annual report 2020-21—Replacement,0.33,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5930,2024-05-14,proforma_closure,Commonwealth Electoral Amendment (Donation Reform and Other Measures) Bill 2020,222,2022-09-06,Commonwealth Grants Commission annual report 2020-21—Replacement,0.33,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5931,2024-05-14,substantive,Commonwealth Electoral Amendment (Integrity of Elections) Bill 2021,628,2022-10-26,Australian Electoral Commission Annual Report 2021-22,0.40,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5933,2024-05-14,proforma_closure,Migration (Validation of Port Appointments) Bill 2018,264,2022-09-08,Additional estimates 2018-19,0.20,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5934,2024-05-14,substantive,Political Influence of Donations,4357,2023-11-30,Influence of international digital platforms [November 2023],0.25,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5988,2024-05-15,proforma_closure,Powering our future,1681,2023-03-30,Housing Australia Future Fund Bill 2023 [Provisions] and related bills,0.25,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5989,2024-05-15,substantive,Advisory report on the inquiry into the Australian Local Power Agency Bill 2021 and Australian Local Power Agency (Consequential Amendments) Bill 2021,4325,2023-11-28,Restoring Democracy: Report of the inquiry into local governance on Norfolk Island,0.14,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5993,2024-05-23,proforma_closure,Australia Post,,,,0.00,no candidate,the search returns no committee document tabled before the response
5994,2024-06-25,proforma_closure,Integrity of Australia’s Border Arrangements,62,2022-07-27,The performance and integrity of Australia’s administrative review system,0.20,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5995,2024-05-15,proforma_closure,Inquiry into factors contributing to the growth and sustainability of the Australian film and television industry,1379,2023-03-17,5-year Productivity Inquiry: Keys to growth Inquiry report – volume 2 [Report no. 100 - 7 February 2023],0.12,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
6019,2024-05-17,proforma_closure,"Nationhood, national identity and democracy",4191,2023-11-16,Supporting democracy in our region [November 2023],0.25,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
6020,2024-05-17,substantive,Primary Industries (Excise) Levies Bill 2023 [Provisions] and related bills,4896,2024-02-05,Primary Industries (Excise) Levies Bill 2023 [Provisions] and related bills [February 2024],1.00,confirmed,"one candidate, exact after normalising a trailing bracketed date; committee and date order both agree"
6024,2024-05-17,proforma_closure,APS Inc: undermining public sector capability and performance,5371,2024-03-18,"Public Governance, Performance and Accountability Amendment (Vaccine Indemnity) Bill 2023",0.29,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
6033,2024-05-16,proforma_closure,Inquiry into constitutional reform and referendums,11348,2022-07-27,Driving reform: Final report for the inquiry into road safety [March 2022],0.20,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
6041,2024-05-16,substantive,Division required? Electronic voting in the House of Representatives,,,,0.00,no candidate,the search returns no committee document tabled before the response
6044,2024-05-16,proforma_closure,Role of the Federation Chamber - Celebrating 20 years of operation,,,,0.00,no candidate,the search returns no committee document tabled before the response
6059,2024-05-16,substantive,Maintenance of the standing orders,4181,2023-11-29,Standing Committee for the Scrutiny of Bills annual report for 2022,0.25,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
6068,2024-05-17,proforma_closure,"Serious allegations of abuse, self-harm and neglect of asylum seekers in relation to the Nauru Regional Processing Centre, and any like allegations in relation to the Manus Regional Processing Centre",3448,2023-09-29,"Nature and extent of violence, abuse, neglect and exploitation [Final report - volume 3]",0.12,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
6069,2024-05-17,proforma_closure,Migration Amendment (Prohibiting Items in Immigration Detention Facilities) Bill 2017,260,2022-09-08,Budget estimates 2017-18 (Supplementary),0.14,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
6070,2024-05-17,proforma_closure,Migration Amendment (Prohibiting Items in Immigration Detention Facilities) Bill 2020,1329,2023-03-07,Migration Amendment (Evacuation to Safety) Bill 2023,0.14,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
6144,2024-05-23,proforma_closure,The Australian Manufacturing Industry,12103,2023-11-30,"Sovereign, smart, sustainable: Driving advanced manufacturing in Australia",0.17,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
6145,2024-05-23,proforma_closure,Environment Protection and Biodiversity Conservation Amendment (Standing) Bill 2015 [Provisions],61,2022-07-27,Environment Protection and Biodiversity Conservation Amendment (Standards and Assurance) Bill 2021,0.57,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
6146,2024-05-23,proforma_closure,Water Amendment (Purchase Limit Repeal) Bill 2019,4142,2023-11-10,Water Amendment (Restoring Our Rivers) Bill 2023 [Provisions] [November 2023],0.20,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
6147,2024-05-23,proforma_closure,Adequacy of the regulatory framework governing water use by the extractive industry,3450,2023-09-29,Governing for inclusion [Final report - volume 5],0.12,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
6148,2024-05-23,proforma_closure,"Impact of feral deer, pigs and goats in Australia",3668,2023-10-13,Impacts and management of feral horses in the Australian Alps [October 2023],0.20,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
6149,2024-05-23,proforma_closure,In hot water: the impacts of climate change on marine fisheries and biodiversity,,,,0.00,no candidate,the search returns no committee document tabled before the response
6150,2024-05-23,proforma_closure,Never waste a crisis: the waste and recycling industry in Australia,5077,2024-02-15,The worsening rental crisis in Australia [Corrigendum],0.20,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
6151,2024-05-23,proforma_closure,Rehabilitation of mining and resources projects and power station ash dams as it relates to Commonwealth responsibilities,,,,0.00,no candidate,the search returns no committee document tabled before the response
6152,2024-05-23,proforma_closure,The impacts of mining in the Murray-Darling Basin,5154,2024-02-27,Report no. 103 - Murray-Darling Basin Plan: Implementation review 2023 [19 December 2023],0.33,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
6153,2024-05-23,proforma_closure,Toxic tide: the threat of marine plastic pollution in Australia,,,,0.00,no candidate,the search returns no committee document tabled before the response
6155,2024-05-23,partial_proforma,Trade in elephant ivory and rhino horn,5719,2024-05-01,Strengthening Australia's approach to trade negotiations [April 2024],0.20,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
6156,2024-05-23,proforma_closure,Final report and report on Constitution Alteration (Water Resources) 2019,29,2022-06-30,Constitution Alteration (Freedom of Expression and Freedom of the Press) 2019,0.50,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
6158,2024-05-23,proforma_closure,Current requirements for labelling of seafood and seafood products,3419,2023-09-14,Current and proposed sexual consent laws in Australia [September 2023],0.20,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
6159,2024-05-23,proforma_closure,Identification of leading practices in ensuring evidence-based regulation of farm practices that impact water quality outcomes in the Great Barrier Reef,1371,2023-03-15,Human rights scrutiny report 3 of 2023 - Quality of Care Amendment (Restrictive Practices) Principles 2022  [15 March 2023],0.12,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
6160,2024-05-23,proforma_closure,Integrity of the water market in the Murray-Darling Basin,5154,2024-02-27,Report no. 103 - Murray-Darling Basin Plan: Implementation review 2023 [19 December 2023],0.33,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
