source_id,label,state,verdict,department,the_words_that_point_elsewhere,the_sentence_they_are_in,recommendation,government_words,url
5631,10,noted,,Education and Employment References Committee,falls within the responsibility of state and territory,Noted The Government acknowledges this recommendation falls within the responsibility of state and territory education authorities and the non-government school sector and has referred this recommendation to state and territory education authorities and the non-government school sector for consideration,The committee recommends that state and territory education authorities and the non-government school sector work together to develop and promote stable and ongoing resources to support effective family engagement. This should include the provision of specialist family engagement support staff in sc,Noted The Government acknowledges this recommendation falls within the responsibility of state and territory education authorities and the non-government school sector and has referred this recommendation to state and territory education authorities and the non-government school sector for consideration,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5631
5631,3,noted,,Education and Employment References Committee,falls within the responsibility of state and territory,Noted The Government acknowledges this recommendation falls within the responsibility of state and territory education authorities and the non-government school sector and has referred this recommendation to state and territory education authorities and the non-government school sector for consideration,"The committee recommends that state and territory governments review their child health and development screening programs to identify opportunities to improve early identification of autism, ADHD, specific learning disorders, and anxiety disorders, in order to provide the classroom support these st",Noted The Government acknowledges this recommendation falls within the responsibility of state and territory education authorities and the non-government school sector and has referred this recommendation to state and territory education authorities and the non-government school sector for consideration. The Government is committed to inclusive education and improving educational and mental health,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5631
5631,4,noted,,Education and Employment References Committee,falls within the responsibility of state and territory,Noted The Government acknowledges this recommendation falls within the responsibility of state and territory education authorities and the non-government school sector and has referred this recommendation to state and territory education authorities and the non-government school sector for consideration,"The committee recommends that state and territory education authorities and the non-government school sector identify opportunities for earlier identification of students at risk of school withdrawal, particularly at key school transition points. This may include—but should not be limited to—analysi",Noted The Government acknowledges this recommendation falls within the responsibility of state and territory education authorities and the non-government school sector and has referred this recommendation to state and territory education authorities and the non-government school sector for consideration,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5631
5631,5,noted,,Education and Employment References Committee,falls within the responsibility of state and territory,Noted The Government acknowledges this recommendation falls within the responsibility of state and territory education authorities and the non-government school sector and has referred this recommendation to state and territory education authorities and the non-government school sector for consideration,"The committee recommends that state and territory education authorities and the non-government school sector investigate ways to increase the flexibility of education delivery, including by: • identifying ways to enhance flexibility in mainstream school settings for children going through school ref",Noted The Government acknowledges this recommendation falls within the responsibility of state and territory education authorities and the non-government school sector and has referred this recommendation to state and territory education authorities and the non-government school sector for consideration,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5631
5631,8,noted,,Education and Employment References Committee,falls within the responsibility of state and territory,Noted The Government acknowledges this recommendation falls within the responsibility of state and territory education authorities and the non-government school sector and has referred this recommendation to state and territory education authorities and the non-government school sector for consideration,The committee recommends that state and territory education authorities and the non-government school sector review and update current messaging about the importance of school attendance to ensure that it: • reflects a nuanced view of attendance that does not further alienate families dealing with s,"Noted The Government acknowledges this recommendation falls within the responsibility of state and territory education authorities and the non-government school sector and has referred this recommendation to state and territory education authorities and the non-government school sector for consideration. The Government through the DoHAC funds the Parenting Education and Support Program, delivered ",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5631
5631,9,noted,,Education and Employment References Committee,falls within the responsibility of state and territory,Noted The Government acknowledges this recommendation falls within the responsibility of state and territory education authorities and the non-government school sector and has referred this recommendation to state and territory education authorities and the non-government school sector for consideration,"The committee recommends that state and territory education authorities and the non-government school sector work together to develop resources to support the use of trauma-informed practices in schools, so they can implement best-practice methods to support students to continue with their education",Noted The Government acknowledges this recommendation falls within the responsibility of state and territory education authorities and the non-government school sector and has referred this recommendation to state and territory education authorities and the non-government school sector for consideration. The Government recognises the importance of trauma-informed practices in schools and acknowled,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5631
5928,18,noted,,Senate Standing Committee on Community Affairs,the responsibility of state and territory,Rental regulation and tenancy matters are the responsibility of state and territory governments,The Chair recommends the Australian Government coordinate with state and territory governments to require the disclosure of properties’ compliance with minimum standards in rental advertisements,"The Australian Government notes this recommendation. Rental regulation and tenancy matters are the responsibility of state and territory governments. The Australian Government is working with state and territory governments through the Energy and Climate Change Ministerial Council (ECMC), and with key industry stakeholders, to establish a Home Energy Ratings Disclosure Framework (the Disclosure Fr",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5928
5928,20,noted,,Senate Standing Committee on Community Affairs,the responsibility of state and territory,Rental regulation and tenancy matters are the responsibility of state and territory governments,The Chair recommends the Australian Government coordinate with state and territory governments to develop clear and nationally consistent definitions and timeframes for urgent and non-urgent repairs to rental properties,The Australian Government notes this recommendation. Rental regulation and tenancy matters are the responsibility of state and territory governments. Response to the final recommendations |,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5928
5928,23,noted,,Senate Standing Committee on Community Affairs,the responsibility of state and territory,Rental regulation and tenancy matters are the responsibility of state and territory governments,The Chair recommends the Australian Government coordinate with state and territory governments to establish rental commissioners in every jurisdiction and facilitate their national cooperation on rental matters,The Australian Government notes this recommendation. Rental regulation and tenancy matters are the responsibility of state and territory governments,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5928
5928,26,noted,,Senate Standing Committee on Community Affairs,the responsibility of state and territory,Rental regulation and tenancy matters are the responsibility of state and territory governments,"The Chair recommends the Australian Government coordinate with state and territory governments to consider implementing legislation to protect co-renters and landlords in situations where there is a dispute between co-renters, as is currently in place in the ACT",The Government notes this recommendation. Rental regulation and tenancy matters are the responsibility of state and territory governments. Response to the final recommendations | 27 Coalition Senators’ recommendations,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5928
5928,8,dissent,,Senate Standing Committee on Community Affairs,the responsibility of state and territory,"While rental regulation and tenancy matters are the responsibility of state and territory governments, the Government will continue to work to deliver better outcomes for housing, including for those who rent",Labor Senators recommend the Australian Government continue to work with the state and territory governments following the implementation of A Better Deal for Renters to identify further reforms to strengthen renters’ rights and provide greater national consistency for renters,"The Australian Government notes this recommendation. The Australian Government acknowledges the growing number of renters in Australia, and their experiences in the rental market. While rental regulation and tenancy matters are the responsibility of state and territory governments, the Government will continue to work to deliver better outcomes for housing, including for those who rent. 34 | Respo",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5928
6805,14,noted,,Department of Health and Aged Care,the primary responsibility of the states and territories,The delivery of public dental services is the primary responsibility of the states and territories,The committee recommends that states and territories take into account the need for culturally safe and effective treatment for Aboriginal and Torres Strait Islander Australians,"The Government notes this recommendation. The delivery of public dental services is the primary responsibility of the states and territories. Therefore, each jurisdiction determines all elements of service delivery including priority populations for eligibility and design of the services. The Commonwealth will continue to work collaboratively with jurisdictions to increase equitable access for pub",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/6805
6805,15,noted,,Department of Health and Aged Care,the responsibility of the states and territories,"The delivery of public dental services is the responsibility of the states and territories and therefore it is up to each state and territory to establish eligibility requirements, state-based legislation, and regulation for oral health services within their jurisdictions","The committee recommends that the Australian Government works with state and territory governments to revise state-based legislation and regulations that prevent non dental health professionals from applying fluoride varnish treatments and fluoride salts, including in regional and remote areas of Au","The Government notes this recommendation. The delivery of public dental services is the responsibility of the states and territories and therefore it is up to each state and territory to establish eligibility requirements, state-based legislation, and regulation for oral health services within their jurisdictions",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/6805
6805,5,position,accepted,Department of Health and Aged Care,the primary responsibility of states and territories,Delivery of adult public dental services is the primary responsibility of states and territories,The committee recommends the Department of Health and Aged Care works to increase the role of dental hygienists and other oral health therapists in providing preventative and basic oral health care,"The Government supports this recommendation. The Government acknowledges the important role dental hygienists and other oral health professionals play in providing preventive and basic oral healthcare to improve the oral health status of Australians. In recognition of this, on 1 July 2022, the Dental Benefits Rules 2014 were amended to enable dental hygienists, dental therapists, and oral health t",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/6805
6805,6,noted,,Department of Health and Aged Care,is a matter for state and territory,"Establishment of any specific access controls, including those for dental health practitioners, is a matter for state and territory governments",The committee recommends the Department of Health and Aged Care assesses—with a view to reducing—regulatory barriers which limit the scope of practice for oral health practitioners who are trained and certified to proscribe and take radiographs. This could include reviewing provisions and/or definit,"The Government notes this recommendation. The Poisons Standard is implemented under state and territory legislation. Establishment of any specific access controls, including those for dental health practitioners, is a matter for state and territory governments. The definition of dental practitioner in the Poisons Standard was aligned with the definition for a health practitioner practicing in the ",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/6805
8583,30,noted,,Department of Health and Aged Care,is a matter for State and Territory,Noted Funding and support for State and Territory Child Protection authorities is a matter for State and Territory Governments,The committee recommends that more funding and support is provided by State and Territory Child Protection authorities to carers who are caring for and supporting children with FASD,"Noted Funding and support for State and Territory Child Protection authorities is a matter for State and Territory Governments. The Australian Government more broadly provides support for carers through funding to 28 National Organisation for Fetal Alcohol Spectrum Disorder Australia to deliver telephone and online counselling services to individuals, families and carers affected by Fetal Alcohol ",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/8583
921,25,position,in part or in principle,Select Committee on Autism,is a matter for state and territory,Supported in principle This is a matter for state and territory government consideration,The committee recommends that state and territory governments undertake a mapping of respite and support services for parents and work with government and non-government providers to address identified gaps in support,"Supported in principle This is a matter for state and territory government consideration. The Australian Government notes there are existing measures in place to assist and provide support for all carers through the Carer Gateway. Carer Gateway is an Australian Government initiative providing a range of free in-person, online and phone-based supports and services to carers. The purpose of Carer Ga",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/921
921,33,position,in part or in principle,Select Committee on Autism,principally a matter for state and territory,Supported in principle This recommendation is principally a matter for state and territory governments,The committee recommends that state and territory governments commit to funding autism-specific advocacy services under their funded disability advocacy programs. Progress toward implementation could be monitored through the National Federation Reform Council,"Supported in principle This recommendation is principally a matter for state and territory governments. The Australian Government is currently working with state and territory governments to collectively address service standards, determine demand and unmet demand, and improve access to high quality advocacy services",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/921
921,48,position,in part or in principle,Select Committee on Autism,is a matter for state and territory,Supported in principle Collecting and reporting student outcomes data is a matter for state and territory governments,The committee recommends that the Education Ministers Meeting develop and implement a framework for regularly monitoring and publicly reporting on education outcomes for students with disability from 2023. This should include monitoring and reporting on outcomes for autistic students as a separate c,Supported in principle Collecting and reporting student outcomes data is a matter for state and territory governments. Once the forum to drive development of a National Autism Strategy is chosen (,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/921
921,50,noted,,Select Committee on Autism,is a matter for state and territory,Noted This is a matter for state and territory government consideration,"The committee recommends that, where state and territory education authorities use targeted programs to distribute funding for students with disability, eligibility for these programs be reviewed and adjusted to better meet the needs of autistic students",Noted This is a matter for state and territory government consideration,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/921
974,6,noted,,,a matter for state and territory,"In making this recommendation, the Committee acknowledged that such fees and the regulation of legal practitioners, including the nature of the fees charged, are a matter for state and territory governments",The committee recommends the prohibition of the use of disappointment fees in family law matters,"Noted. The Government notes the Committee’s concerns about disappointment fees (also known as cancellation fees) being charged by family law barristers or solicitor advocates in some jurisdictions. In making this recommendation, the Committee acknowledged that such fees and the regulation of legal practitioners, including the nature of the fees charged, are a matter for state and territory governm",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/974
