key,chamber,also_on,report_tabled,days_outstanding,committee,title,report_page_url,pdf_source_url,collected,notes,pdf_direct_url
m-2020-06-17-performance-of-the-australian-maritime-s,senate,,2020-06-17,2268,Rural and Regional Affairs and Transport Legislation,Performance of the Australian Maritime Safety Authority,https://www.aph.gov.au/Parliamentary_Business/Committees/Senate/Rural_and_Regional_Affairs_and_Transport/AMSA/Report,https://www.aph.gov.au/Parliamentary_Business/Committees/Senate/Rural_and_Regional_Affairs_and_Transport/AMSA/Report,yes,"downloaded from PerformanceoftheAustralianMaritimeSafetyAuthority.pdf;fileType=application%2Fpdf, 112 pages, title match 1.15",
m-2020-09-14-national-radioactive-waste-management-am,senate,,2020-09-14,2179,Economics Legislation,"National Radioactive Waste Management Amendment (Site Specification, Community Fund and Other Measures) Bill 2020 [Provisions]",https://www.aph.gov.au/Parliamentary_Business/Committees/Senate/Economics/RadioactiveWaste/Report,https://www.aph.gov.au/Parliamentary_Business/Committees/Senate/Economics/RadioactiveWaste/Report,yes,"downloaded from NationalRadioactiveWasteMagagementAmendment(SiteSpecificationCommunityFundandOtherMeasures)Bill2020[Provisions].pdf;fileType=application%2Fpdf, 99 pages, title match 1.15",
m-2020-12-09-report-485-cyber-resilience-inquiry-into,senate,house;senate,2020-12-09,2093,"Public Accounts and Audit (Joint, Statutory)",Report 485: Cyber Resilience: Inquiry into Auditor-General’s Reports 1 and 13 (2019-20),https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Public_Accounts_and_Audit/CyberResilience2019-20/Report,https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Public_Accounts_and_Audit/CyberResilience2019-20/Report,yes,"downloaded from Report485CyberResilience.pdf;fileType=application%2Fpdf, 80 pages, title match 1.90",
m-2021-08-24-oil-and-gas-exploration-and-production-i,senate,,2021-08-24,1835,Environment and Communications References,Oil and gas exploration and production in the Beetaloo Basin,https://www.aph.gov.au/Parliamentary_Business/Committees/Senate/Environment_and_Communications/BeetalooBasin/Interim_Report,https://www.aph.gov.au/Parliamentary_Business/Committees/Senate/Environment_and_Communications/BeetalooBasin/Interim_Report,yes,"downloaded from OilandgasexplorationandproductionintheBeetalooBasin.pdf;fileType=application%2Fpdf, 127 pages, title match 1.15",
m-2021-08-24-report-486-regulatory-activities-inquiry,senate,house;senate,2021-08-24,1835,"Public Accounts and Audit (Joint, Statutory)","Report 486: Regulatory Activities - Inquiry into Auditor-Generals Reports 33, 47, 48 (2019-20) and 5 and 8 (2020-21)",https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Public_Accounts_and_Audit/RegulatoryActivities/Report,https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Public_Accounts_and_Audit/RegulatoryActivities/Report,yes,"downloaded from Report486RegulatoryActivities-InquiryintoAuditor-General%e2%80%99sReports33,47,48(2019-20)and5and8(2020-21).pdf;fileType=application%2Fpdf, 119 pages, title match 1.90",
m-2021-12-01-public-interest-immunity-claimsthird-int,senate,,2021-12-01,1736,COVID-19—Senate Select,Public interest immunity claims—Third interim report,https://www.aph.gov.au/Parliamentary_Business/Committees/Senate/COVID-19/COVID19/Third_Interim_Report,https://www.aph.gov.au/Parliamentary_Business/Committees/Senate/COVID-19/COVID19/Third_Interim_Report,yes,"downloaded from ThirdinterimreportPublicinterestimmunityclaims.pdf;fileType=application%2Fpdf, 59 pages, title match 0.95",
m-2022-03-30-inquiry-into-pfas-remediation-in-and-aro,senate,,2022-03-30,1617,"Foreign Affairs, Defence and Trade— Joint Standing",Inquiry into PFAS remediation in and around Defence bases—Final report,https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Foreign_Affairs_Defence_and_Trade/PFASRemediation/Report,,yes,,
m-2022-03-30-inquiry-into-pfas-remediation-in-and-aro,house,,2022-03-30,1617,"Foreign Affairs, Defence and Trade (Joint, Standing)",Inquiry into PFAS remediation in and around Defence bases: Final report,https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Foreign_Affairs_Defence_and_Trade/PFASRemediation/Report,,yes,,
m-2022-04-12-report-492governance-in-the-stewardship,senate,,2022-04-12,1604,Public Accounts and Audit—Joint Statutory,"Report 492—Governance in the stewardship of public resources: Inquiry into Auditor-General’s reports 11, 31 and 39 (2019-20) and 2 and 9 (2020-21)",https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Public_Accounts_and_Audit/Governance/Report,https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Public_Accounts_and_Audit/Governance/Report,yes,"downloaded from Report492GovernanceintheStewardshipofPublicResources.pdf;fileType=application%2Fpdf, 156 pages, title match 1.79",
m-2024-03-26-better-competition-better-prices-report,house,,2024-03-26,890,"Economics (House, Standing)","Better Competition, Better Prices: Report on the inquiry into promoting economic dynamism, competition and business formation",https://www.aph.gov.au/Parliamentary_Business/Committees/House/Economics/Economicdynamism/Report,https://www.aph.gov.au/Parliamentary_Business/Committees/House/Economics/Economicdynamism/Report,yes,"downloaded from BetterCompetition,BetterPrices.pdf;fileType=application%2Fpdf, 280 pages, title match 1.15",
m-2024-05-28-drowning-in-waste-plastic-pollution-in-a,house,,2024-05-28,827,"Climate Change, Energy, Environment and Water (House, Standing)",Drowning in waste: Plastic pollution in Australia’s oceans and waterways,https://www.aph.gov.au/Parliamentary_Business/Committees/House/Climate_Change_Energy_Environment_and_Water/Plasticpollution/Report,https://www.aph.gov.au/Parliamentary_Business/Committees/House/Climate_Change_Energy_Environment_and_Water/Plasticpollution/Report,yes,"downloaded from Drowninginwaste.pdf;fileType=application%2Fpdf, 131 pages, title match 1.15",
m-2024-05-30-inquiry-into-australias-human-rights-fra,house,,2024-05-30,825,"Human Rights (Joint, Statutory)",Inquiry into Australia’s Human Rights Framework,https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Human_Rights/HumanRightsFramework/Report,https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Human_Rights/HumanRightsFramework/Report,yes,"downloaded from InquiryintoAustralia'sHumanRightsFramework.pdf;fileType=application%2Fpdf, 486 pages, title match 0.90",
m-2024-06-25-australias-human-rights-framework,senate,,2024-06-25,799,Human Rights—Joint Statutory,Australia’s Human Rights Framework,https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Human_Rights/HumanRightsFramework/Report,https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Human_Rights/HumanRightsFramework/Report,yes,"downloaded from InquiryintoAustralia'sHumanRightsFramework.pdf;fileType=application%2Fpdf, 486 pages, title match 0.90",
m-2024-06-27-report-504inquiry-into-procurement-at-se,senate,,2024-06-27,797,Public Accounts and Audit—Joint Statutory,Report 504—Inquiry into procurement at Services Australia and the NDIA: Final report,https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Public_Accounts_and_Audit/SAandNDIA/Final_Report,https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Public_Accounts_and_Audit/SAandNDIA/Final_Report,yes,"downloaded from Report504InquiryintoprocurementatServicesAustraliaandtheNDIA.pdf;fileType=application%2Fpdf, 39 pages, title match 1.65",
m-2024-11-04-report-505-inquiry-into-policy-and-progr,senate,house;senate,2024-11-04,667,"Public Accounts and Audit (Joint, Statutory)",Report 505: Inquiry into Policy and Program Design and Implementation,https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Public_Accounts_and_Audit/PolicyandProgramDesign/Report,https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Public_Accounts_and_Audit/PolicyandProgramDesign/Report,yes,"downloaded from Report505InquiryintoPolicyandProgramDesignandImplementation.pdf;fileType=application%2Fpdf, 80 pages, title match 1.90",
m-2024-11-04-report-506-inquiry-into-commonwealth-fin,house,,2024-11-04,667,"Public Accounts and Audit (Joint, Statutory)",Report 506: Inquiry into Commonwealth Financial Statements 2022-2023,https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Public_Accounts_and_Audit/CFS2022-23/Report_506_Inquiry_into_Commonwealth_Financial_Statements_2022-23,https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Public_Accounts_and_Audit/CFS2022-23/Report_506_Inquiry_into_Commonwealth_Financial_Statements_2022-23,yes,"downloaded from Report506InquiryintoCommonwealthFinancialStatements2022-23.pdf;fileType=application%2Fpdf, 71 pages, title match 1.70",
