row,source,source_id,label,recommended_by,state,verdict
response-6143-1-,response,6143,1,,form letter,
response-6145-1-,response,6145,1,,form letter,
response-6146-1-,response,6146,1,,form letter,
response-6147-1-,response,6147,1,,form letter,
response-6148-1-,response,6148,1,,form letter,
response-6149-1-,response,6149,1,,form letter,
response-6150-1-,response,6150,1,,form letter,
response-6151-1-Australian Greens,response,6151,1,Australian Greens,dissent,
response-6152-1-,response,6152,1,,form letter,
response-6153-1-,response,6153,1,,form letter,
response-6155-1-,response,6155,1,,form letter,
response-6156-1-,response,6156,1,,form letter,
response-6157-1-,response,6157,1,,position,accepted
response-6159-1-,response,6159,1,,form letter,
response-6160-1-,response,6160,1,,form letter,
response-6161-1-,response,6161,1,,form letter,
response-6162-1-,response,6162,1,,form letter,
response-6164-1-,response,6164,1,,form letter,
response-6208-1-,response,6208,1,,position,accepted
response-6209-1-,response,6209,1,,form letter,
response-6210-1-,response,6210,1,,form letter,
response-6213-1-,response,6213,1,,form letter,
response-6239-1-,response,6239,1,,form letter,
response-6240-1-,response,6240,1,,form letter,
response-6241-1-,response,6241,1,,form letter,
response-6243-1-,response,6243,1,,form letter,
response-6244-1-,response,6244,1,,form letter,
response-6250-1-,response,6250,1,,unreadable,
response-6558-1-,response,6558,1,,position,accepted
response-6635-1-,response,6635,1,,form letter,
response-6635-8-,response,6635,8,,form letter,
response-6636-1-,response,6636,1,,form letter,
response-6638-1-,response,6638,1,,form letter,
response-6638-16-,response,6638,16,,form letter,
response-6638-8-,response,6638,8,,form letter,
response-6639-1-,response,6639,1,,form letter,
response-6641-1-,response,6641,1,,form letter,
response-6644-1-,response,6644,1,,form letter,
response-6645-1-,response,6645,1,,form letter,
response-6645-17-,response,6645,17,,form letter,
response-6645-25-,response,6645,25,,form letter,
response-6646-1-,response,6646,1,,form letter,
response-6646-9-,response,6646,9,,form letter,
response-6647-1-,response,6647,1,,form letter,
response-6648-1-,response,6648,1,,form letter,
response-6649-1-,response,6649,1,,form letter,
response-6649-8-,response,6649,8,,form letter,
response-6650-1-,response,6650,1,,form letter,
response-6650-14-,response,6650,14,,form letter,
response-6650-8-,response,6650,8,,form letter,
response-6651-1-,response,6651,1,,form letter,
response-6652-1-,response,6652,1,,form letter,
response-6653-1-,response,6653,1,,form letter,
response-6653-9-,response,6653,9,,form letter,
response-6654-1-,response,6654,1,,form letter,
response-6655-1-,response,6655,1,,form letter,
response-6655-12-,response,6655,12,,form letter,
response-6655-17-,response,6655,17,,form letter,
response-6655-25-,response,6655,25,,form letter,
response-6655-7-,response,6655,7,,form letter,
response-6656-1-,response,6656,1,,form letter,
response-6656-17-,response,6656,17,,form letter,
response-6656-25-,response,6656,25,,form letter,
response-6656-9-,response,6656,9,,form letter,
response-6657-1-,response,6657,1,,form letter,
response-6658-1-,response,6658,1,,form letter,
response-6659-1-,response,6659,1,,form letter,
response-6660-1-,response,6660,1,,form letter,
response-6660-17-,response,6660,17,,form letter,
response-6660-9-,response,6660,9,,form letter,
response-6664-1-,response,6664,1,,form letter,
response-6664-8-,response,6664,8,,form letter,
response-6665-2.1-,response,6665,2.1,,form letter,
response-6666-1-,response,6666,1,,form letter,
response-6667-1-,response,6667,1,,form letter,
response-6668-10.5-,response,6668,10.5,,unreadable,
response-6668-10.9-,response,6668,10.9,,form letter,
response-6668-2.1-,response,6668,2.1,,form letter,
response-6668-3.6-,response,6668,3.6,,form letter,
response-6668-5.3-,response,6668,5.3,,form letter,
response-6668-7.3-,response,6668,7.3,,form letter,
response-6668-8.2-,response,6668,8.2,,form letter,
response-6668-9.2-,response,6668,9.2,,unreadable,
response-6669-1-,response,6669,1,,form letter,
response-6669-11-,response,6669,11,,form letter,
response-6669-4-,response,6669,4,,form letter,
response-6669-7-,response,6669,7,,form letter,
response-6670-1-,response,6670,1,,form letter,
response-6670-9-,response,6670,9,,form letter,
response-6715-1-,response,6715,1,,form letter,
response-6716-1-,response,6716,1,,form letter,
response-6717-1-,response,6717,1,,form letter,
response-6718-1-,response,6718,1,,form letter,
response-6718-17-,response,6718,17,,form letter,
response-6718-9-,response,6718,9,,form letter,
response-6719-1-,response,6719,1,,form letter,
response-6719-9-,response,6719,9,,form letter,
response-6720-1-,response,6720,1,,form letter,
response-6720-9-,response,6720,9,,form letter,
response-6721-1-,response,6721,1,,form letter,
response-6721-14-,response,6721,14,,form letter,
response-6721-22-,response,6721,22,,form letter,
response-6721-29-,response,6721,29,,form letter,
response-6721-7-,response,6721,7,,form letter,
response-6722-1-,response,6722,1,,form letter,
response-6722-13-,response,6722,13,,form letter,
response-6722-4-,response,6722,4,,form letter,
response-6722-9-,response,6722,9,,form letter,
response-6754-1-,response,6754,1,,form letter,
response-6805-1-,response,6805,1,,position,in part or in principle
response-7094-1-,response,7094,1,,position,in part or in principle
response-7279-1-,response,7279,1,,position,not accepted
response-7280-1-Senator Paul,response,7280,1,Senator Paul,dissent,
response-7305-1-,response,7305,1,,position,accepted
response-7593-1-,response,7593,1,,unreadable,
response-7595-1-,response,7595,1,,position,accepted
response-7643-1-,response,7643,1,,noted,
response-771-1-,response,771,1,,noted,
response-772-1-,response,772,1,,unreadable,
response-8195-1-,response,8195,1,,noted,
response-8243-1-,response,8243,1,,position,in part or in principle
response-8244-1-Greens Senators,response,8244,1,Greens Senators,dissent,
response-8346-1-,response,8346,1,,position,accepted
response-8364-1-,response,8364,1,,noted,
response-8412-1-,response,8412,1,,unreadable,
response-8487-1-,response,8487,1,,noted,
response-8557-1-,response,8557,1,,position,in part or in principle
response-856-11-,response,856,11,,unreadable,
response-8606-1-,response,8606,1,,noted,
response-8738-1-Coalition Senators,response,8738,1,Coalition Senators,dissent,
response-8769-1-,response,8769,1,,position,in part or in principle
response-878-12-,response,878,12,,position,not accepted
response-9041-1-,response,9041,1,,form letter,
response-9046-1-,response,9046,1,,position,accepted
response-9112-1-Senator Scarr,response,9112,1,Senator Scarr,dissent,
response-921-1-Australian Greens Senator,response,921,1,Australian Greens Senator,dissent,
response-941-1-Labor,response,941,1,Labor,dissent,
response-9517-1-,response,9517,1,,noted,
response-9517-12-,response,9517,12,,noted,
response-9517-3-,response,9517,3,,noted,
response-9517-9-,response,9517,9,,noted,
response-965-3-,response,965,3,,noted,
response-974-1-,response,974,1,,position,accepted
response-975-1-additional comments,response,975,1,additional comments,dissent,
