source,source_id,label,recommended_by,document_has_other_authors,recommendation,government_words,response_classification,committee,department,document_title,tabled,chamber,url
response,170,3,,,"The Government accepts this recommendation. The Committee recommends that, within 18 months of tabling this report, the Parliamentary Joint Committee on Intelligence and Security receive a briefing, either orally or in writing, from the Department of Home Affairs on its continuing engagement with the Kurdish community on the listing of the Kurdistan Workers’ Party",,substantive,,,"Review of the re-listing of five organisations as terrorist organisations under the Criminal Code—Al-Shabaab, Lashkar-e-Tayyiba, Palestinian Islamic Jihad, Hamas' Izz al-Din al-Qassam Brigades and the Kurdistan Workers' Party (PKK)—Government response",2022-04-07,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/170
response,406,2,,,"The committee recommends that following the finalisation of the Implementation Plan for Settlement Distribution Scheme, Services Australia publicly release the following data:  the number of class action Group Members in each category;  the total value of the debts of Group Members, broken down by category; and  the average share of the settlement sum eligible Group Members received. Agree",The parties to the class action will report to the Court on the implementation of the Settlement Distribution Scheme which will then become a matter of public record,substantive,Senate Community Affairs References Committee,Department of Social Services,Australian Government response to the Senate Community Affairs References Committee report: Inquiry into Centrelink’s Compliance Program - Fifth interim report - October 2022,2022-10-13,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/406
response,406,3,senator may,,"The committee recommends that the Senate adopt the following resolution. 1. That the Senate notes that the Senate Community Affairs References Committee has rejected the Minister for Government Services' explanation regarding public interest immunity claims on several occasions. 2. That there be laid on the table by the Minister for Government Services, by no later than 1pm on Wednesday, 24 November 2021:  revised responses to all questions relating to legal advice and the Income Compliance Program which have been subject to rejected claims of public interest immunity during the Community Affairs References Committee’s inquiry into Centrelink’s compliance program; and 3  a copy of the Executive Minute to the Minister for Social Services, dated 12 February 2015, as referenced in the Commonwealth Ombudsman’s April 2017 report into Centrelink’s automated debt raising and recovery system; or  a letter confirming that the above responses relating to legal advice and the Executive Minute will be provided in camera to the Senate Community Affairs References Committee by no later than 2pm on that same day. 3. In the event that the Minister again fails to table these documents:  the Senate requires the Minister to attend the Senate at the conclusion of question time on Wednesday 24 November 2021 to provide an explanation of the Minister’s failure to table the documents.  at the conclusion of the Minister’s explanation, or in the event that the Minister fails to provide an explanation, any senator may move to take note of the explanation or the failure to provide an explanation;  any motion under the above paragraph may be debated for no longer than 60 minutes and have precedence over all other business until determined, and senators may speak to the motion for no more than 10 minutes each",Noted Government Response The Government notes this recommendation is a matter for the Senate,substantive,Senate Community Affairs References Committee,Department of Social Services,Australian Government response to the Senate Community Affairs References Committee report: Inquiry into Centrelink’s Compliance Program - Fifth interim report - October 2022,2022-10-13,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/406
response,771,2,,,"The Committee recommends that the Australian Government work with Australian universities to apply the November 2021 University Foreign Interference Taskforce Guidelines and publish annually a report documenting incidents of harassment, intimidation and censorship affecting international students at Australian universities, and steps taken by the universities to counter those threats"," The Government partially accepts this recommendation. If clandestine, it can be difficult to establish foreign interference as the motivating factor for harassment, intimidation and censorship. The Government is working with the sector to define reporting arrangements on the implementation of the revised University Foreign Interference Taskforce (UFIT) Guidelines",substantive,"Joint Standing Committee on Foreign Affairs, Defence and Trade",,"Australian Government response to the Joint Standing Committee on Foreign Affairs, Defence and Trade: First periodic report on Human Rights: Final report into certain aspects of the Department of Foreign Affairs and Trade Annual Report 2019-20",2022-11-17,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/771
response,771,3,,,"The Committee recommends that the Australian Government work with Australian universities under the November 2021 University Foreign Interference Taskforce Guidelines to establish a mechanism for students at Australian universities to safely report harassment, intimidation, pressures of censorship or self-censorship, and acts of retaliation involving foreign governments"," The Government accepts this recommendation. Individual students are able to anonymously report instances of foreign interference on campus through the National Security Hotline. Through ongoing outreach efforts, Home Affairs and ASIO will continue to promote the National Security Hotline and NITRO (Notifiable Incidents, Threats and Reportable Observations) as reporting mechanisms for suspected instances of foreign interference",substantive,"Joint Standing Committee on Foreign Affairs, Defence and Trade",,"Australian Government response to the Joint Standing Committee on Foreign Affairs, Defence and Trade: First periodic report on Human Rights: Final report into certain aspects of the Department of Foreign Affairs and Trade Annual Report 2019-20",2022-11-17,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/771
response,771,4,,,The Committee recommends that the Australian Government advocate through all available channels and measures for the restoration of peace in Tigray," The Government accepts this recommendation. Throughout the course of the recent conflict, the Australian Government repeatedly called on all parties to cease hostilities and work towards a negotiated solution. The Australian Government welcomed the Ethiopian Government’s announcement on 24 March 2022 of an immediate cessation of hostilities, and the Tigray People’s Liberation Front’s subsequent announcement that it will abide by the ceasefire. We continue to call on all parties to work towards an enduring peace in Tigray",substantive,"Joint Standing Committee on Foreign Affairs, Defence and Trade",,"Australian Government response to the Joint Standing Committee on Foreign Affairs, Defence and Trade: First periodic report on Human Rights: Final report into certain aspects of the Department of Foreign Affairs and Trade Annual Report 2019-20",2022-11-17,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/771
response,771,5,,,The Committee recommends that the Australian Government consider increasing Australia's humanitarian assistance to respond to the crisis and continue to provide consular assistance to Australians in Ethiopia," The Government accepts this recommendation. The Australian Government remains deeply concerned by the humanitarian situation in Tigray and across northern Ethiopia, with millions of people in need of life-saving support. Australia’s contribution in 2021 of $6 million to the World Food Programme and the International Committee of the Red Cross, and our deployment of humanitarian experts, reflects our commitment to supporting people affected by the recent conflict. Following the ceasefire announced on 24 March 2022, humanitarian convoys with vital supplies have started to reach Tigray. Australia continues to assess humanitarian need and access across northern Ethiopia. Further humanitarian contributions will be considered as part of Australia’s continuous review of humanitarian need globally. The Department of Foreign Affairs and Trade continues to provide consular assistance to Australi",substantive,"Joint Standing Committee on Foreign Affairs, Defence and Trade",,"Australian Government response to the Joint Standing Committee on Foreign Affairs, Defence and Trade: First periodic report on Human Rights: Final report into certain aspects of the Department of Foreign Affairs and Trade Annual Report 2019-20",2022-11-17,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/771
response,771,6,,,"The Committee recommends that the Government note that, to ensure community voices are heard and important human rights issues are placed on the public record and reported to parliament, the Committee will: • hold an annual public hearing roundtable on a human rights issue or issues; and • include evidence heard at this public hearing roundtable in the Human Rights Sub- Committee’s annual report to the parliament (see",,substantive,"Joint Standing Committee on Foreign Affairs, Defence and Trade",,"Australian Government response to the Joint Standing Committee on Foreign Affairs, Defence and Trade: First periodic report on Human Rights: Final report into certain aspects of the Department of Foreign Affairs and Trade Annual Report 2019-20",2022-11-17,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/771
response,772,2,,,"The Committee recommends that, subject to the amendment outlined above, the National Security Legislation Amendment (Comprehensive Review and Other Measures No. 1) Bill 2021 be passed. The Bill passed through both Houses of Parliament on 30 March 2022, and received the Royal Assent on 1 April 2022",,substantive,Parliamentary Joint Committee on Intelligence and Security,,Australian Government response to the Parliamentary Joint Committee on Intelligence and Security report: Advisory Report on the National Security Legislation Amendment (Comprehensive Review and Other Measures No. 1) Bill 2021,2022-11-17,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/772
response,856,1,,yes,"That Rio Tinto: Negotiate a restitution package for the destruction of the Juukan rock shelters with the PKKP Ensure a full reconstruction of the Juukan rock shelters and remediation of the site at its own expense, with guidance and oversight from the PKKP, acknowledging Rio Tinto’s undertaking in this regard and the steps taken to date. The reconstruction should specifically include steps to mitigate water and other damage to the creek that flows in Juukan Gorge and protect the Sacred Snake-head Rock Pool Commit to a permanent moratorium on mining in the Juukan Gorge area, negotiated with the PKKP, and that this is respected by all mining and exploration companies Undertake an independent review of all its agreements with Traditional Owners to ensure they reflect best practice standards Remove any gag clauses or restrictions on Traditional Owner rights under heritage and other laws Commit to a stay on all actions under Rio Tinto’s current Section 18 permissions until they are properly reviewed to ensure that free, prior and informed consent has been obtained from Traditional Owners and is current Commit to a voluntary moratorium on applying for new Section 18 permissions, pending either the passage of stronger heritage protections in Western Australia or the negotiation of a protocol with relevant Traditional Owners to establish an improved process for site surveys, cultural protection and work area clearances based on the principle of avoiding damage wherever possible Return all artefacts and other materials held by Rio Tinto to PKKP and after negotiation and by agreement with PKKP, fund appropriate keeping places for artefacts and other materials to be supervised and controlled by the PKKP. The Australian Government notes this recommendation for Rio Tinto, and will consider the issues raised in the context of the co-design partnership for cultural heritage reform",,substantive,,,Australian Government response to the parliamentary inquiry into the destruction of the Juukan Gorge,2022-11-28,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/856
response,856,2,,yes,The Committee recommends that the Australian Government ratify the Convention for the Safeguarding of the Intangible Cultural Heritage 2003,"Agreed in principle. The Convention for the Safeguarding of the Intangible Cultural Heritage 2003 (2003 Convention), currently overseen by the Arts portfolio, requires ratifying states to implement a range of measures to recognise and ensure respect for the intangible cultural heritage of communities, groups and individuals; to raise awareness at local, national and international levels of the importance of intangible cultural heritage; to facilitate international cooperation and assistance on intangible cultural heritage matters; and to safeguard threatened intangible cultural heritage. Given the diversity of what could be defined as intangible cultural heritage in Australia, careful consideration needs to be given to its application nationally. Of particular importance is the application to First Nations’ intangible cultural heritage. For example, Article 16 of the 2003 Convention requ",substantive,,,Australian Government response to the parliamentary inquiry into the destruction of the Juukan Gorge,2022-11-28,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/856
response,856,4,,yes,The Committee recommends that the Australian Government: Seek to legislate a prohibition on agreements that restrict Traditional Owners from publicly raising concerns about heritage protection or exercising their rights under heritage legislation,"Agreed. This is addressed in the Australian Government’s response to Recommendations 1 and 4 of A Way Forward. The co-design process described in the “Overarching approach” section will explore the barriers to First Nations peoples seeking cultural heritage protections. This will include consideration of the ways in which agreements between two parties have contractual mechanisms that limit or prohibit First Nations peoples’ ability to pursue cultural heritage protections at the federal level. Implement and publicly publish improved procedures within the Ministers’ offices, the National Indigenous Australians Agency and the Department for responding to and recording heritage concerns raised by Traditional Owners, including protocols for communicating and escalating urgent concerns to the responsible Minister and their Department Agreed. Applications for the protection of First Nations’ c",substantive,,,Australian Government response to the parliamentary inquiry into the destruction of the Juukan Gorge,2022-11-28,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/856
response,856,5,,yes,The Committee recommends that the Australian Government endorse and commit to implementing Dhawura Ngilan: A Vision for Aboriginal and Torres Strait Islander Heritage in Australia,"Agreed in principle. Dhawura Ngilan was written by the Heritage Chairs of Australia and New Zealand to offer a way to inform policy, underpin legislative change and inspire actions for First Nations cultural heritage. Some of its recommendations are outside of the Australian Government’s responsibilities, however, the Australian Government supports Dhawura Ngilan in principle and is taking its findings into account in its work to reform and strengthen heritage protections in partnership with the First Nations Heritage Protection Alliance. Several recommendations in Dhawura Ngilan are consistent with recommendations in A Way Forward, such as truth-telling and developing national standards. The Australian Government’s response to these matters is also addressed in the response to Recommendations 1, 3 and",substantive,,,Australian Government response to the parliamentary inquiry into the destruction of the Juukan Gorge,2022-11-28,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/856
response,856,6,,yes,"The Committee recommends that the Australian Government develops a model for a cultural heritage truth telling process that may be followed by all Australians−individuals, governments and companies−as a part of any process to engage with Aboriginal and Torres Strait Islander peoples and their cultural heritage","Agreed. The Australian Government is committed to truth-telling as an integral part of implementing the Uluru Statement from the Heart in full. As part of that commitment, the Australian Government will establish an independent Makarrata Commission to oversee a national process for agreement-making and truth-telling in partnership with First Nations communities and other levels of government. 10 Australian Government response on Juukan Gorge The Australian Government welcomes and acknowledges the many state and territory truth-telling and treaty initiatives already underway and intends for the Makarrata Commission to complement these. Opportunities to pursue truth-telling processes and better engage with First Nations peoples will also form part of the considerations of working in partnership to design cultural heritage protection reforms outlined in the “Overarching approach” section. T",substantive,,,Australian Government response to the parliamentary inquiry into the destruction of the Juukan Gorge,2022-11-28,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/856
response,856,7,,yes,The Committee recommends that the Australian Government urgently review the adequacy of the Aboriginal and Torres Strait Islander Heritage Protection Act 1984,Agreed. This will be addressed in the Australian Government’s response to Recommendations 1 and 3 of A Way Forward. The Australian Government recognises the limitations of the ATSIHP Act and is committed to developing new standalone cultural heritage legislation. In developing this legislation we will be considering the adequacy of the ATSIHP Act. Australian Government response on Juukan Gorge 19 Summary table of recommendations Never Again interim report,substantive,,,Australian Government response to the parliamentary inquiry into the destruction of the Juukan Gorge,2022-11-28,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/856
response,856,13,,yes,"Notwithstanding the need for national standalone heritage protection legislation, the ATSHIP Act and EPBC Act be reviewed and amended to fully meet our obligations under the United Nations Declaration on the Rights of Indigenous People (UNDRIP). The best practice standards put forward by Heritage Chairs and Officials of Australia and New Zealand (HCOANZ) Dharwura Ngilan: A Vision for Aboriginal and Torres Strait Islander Heritage in Australia should be enshrined in these Acts. The EPBC Act should further give full consideration to the recommendations of the Independent Review of the EPBC Act, led by Professor Graeme Samuel AC, particularly section 2.3 of the Final Report, while the review of the ATSIHP Act should give full consideration to the recommendations of the Evatt Review of the Aboriginal and Torres Strait Islander Heritage Protection Act 1984",,substantive,,,Australian Government response to the parliamentary inquiry into the destruction of the Juukan Gorge,2022-11-28,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/856
response,856,17,The Australian Greens recommend,yes,"The Australian Greens recommend that the Australian, State and Territory Governments, in collaboration with all relevant stakeholders and First Nations people, review and amend existing legislation to introduce broader human rights and cultural heritage due diligence obligations for Australian companies to take proactive steps to identify potential human rights and cultural heritage impacts of their actions",,substantive,,,Australian Government response to the parliamentary inquiry into the destruction of the Juukan Gorge,2022-11-28,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/856
response,921,2,,yes,"The committee recommends that development of a National Autism Strategy be driven by a national taskforce established under the auspices of the National Federation Reform Council. The taskforce should adopt a co-design approach drawing on the autistic community, as well as parents, carers, researchers, and policy makers. The definition of co-design, and the principles underpinning it, should be agreed at the start of the development process","Partially Supported The Australian Government supports this recommendation and will work with state and territory governments to ensure the development of a National Autism Strategy adopts a co-design approach and is driven by, and in close consultation with, autistic people, their families and carers, advocates, peak bodies, researchers, and policy makers. The approach to its development and underpinning principles will be agreed at the start of the process with all stakeholders. The Conran Review of the Council of Australian Governments (COAG), Ministerial Forums and Councils (the Conran Review) aimed to reduce the number of ministers’ meetings, related forums and streamlining intergovernmental bodies. The Australian Government notes that where there are suitable existing forums, these should be used in the first instance to progress any new priorities and ensure alignment with the Con",substantive,Select Committee on Autism,,"Australian Government response to the Select Committee on Autism report: Services, support and life outcomes for autistic Australians, December 2022",2022-12-08,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/921
response,921,3,,yes,"The committee recommends that the National Autism Strategy and accompanying implementation plan include an outcomes framework, as well as specific and measurable actions, targets and milestones. Where appropriate, the framework and measurable items should align with those in other national strategies","Supported The Australian Government supports the development of a National Autism Strategy and accompanying implementation plan. It is envisaged this will include an outcomes framework with specific and measurable actions, accountabilities, targets and milestones that will align with other national strategies, including Australia’s Disability Strategy outcomes framework",substantive,Select Committee on Autism,,"Australian Government response to the Select Committee on Autism report: Services, support and life outcomes for autistic Australians, December 2022",2022-12-08,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/921
response,921,4,,yes,The committee recommends that the taskforce monitor and report annually on the implementation of the National Autism Strategy,"Supported in principle Annual reporting on the implementation of a National Autism Strategy, through governance designed to support and oversee the implementation of the strategy will be developed. As noted in the response to",substantive,Select Committee on Autism,,"Australian Government response to the Select Committee on Autism report: Services, support and life outcomes for autistic Australians, December 2022",2022-12-08,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/921
response,921,5,,yes,"The committee recommends that an independent review of the National Autism Strategy be undertaken three years after implementation begins, with the findings to be publicly released and used to inform the next iteration of the strategy",Supported in principle The Australian Government supports this recommendation in principle. An independent review of the National Autism Strategy will be considered as part of the development of the strategy. The adequacy of available services and supports,substantive,Select Committee on Autism,,"Australian Government response to the Select Committee on Autism report: Services, support and life outcomes for autistic Australians, December 2022",2022-12-08,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/921
response,921,7,,yes,"The committee recommends that the National Autism Strategy identify actions to drive better integration between federal and state service systems, including a roadmap to better integrate NDIS and mainstream services. This roadmap should be consistent with the recommendations made by the Joint Standing Committee on the NDIS in relation to service integration and overlap with other systems","Supported in principle In 2015, all governments agreed to the ‘Principles to determine the responsibilities of the NDIS and other service systems’ (‘the Principles’). In addition to these six general principles, all governments agreed to the Applied Principles and Tables of Support (APTOS) which are used as a guide to determine the funding and delivery responsibilities of other service systems and the NDIS. The APTOS also outlines how these systems can work together to support the vision of an inclusive Australian society. The Australian Government continues to work with state and territory governments to integrate NDIS and mainstream services. Through the former Disability Reform Council and the current Disability Reform Ministers’ Meetings, significant progress has been made to better integrate the NDIS with health, child protection, transport, justice, school and mental health mainstr",substantive,Select Committee on Autism,,"Australian Government response to the Select Committee on Autism report: Services, support and life outcomes for autistic Australians, December 2022",2022-12-08,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/921
