inquiry,committee,report,response
Attorney-General’s Portfolio Miscellaneous Measures Bill 2023,Legal and Constitutional Affairs Legislation Committee,"Report presented: 1/2/2024
Report tabled: 6/2/2024",Response tabled: 10/9/2024
Australia activating greater trade and investment with Pacific island countries,"Joint Standing Committee on Foreign Affairs, Defence and Trade","One region, one family, one future: Deepening relations with the Pacific nations through trade
Report tabled: 2/9/2021",Response tabled: 25/6/2024
Australia as a Technology and Financial Centre,Select Committee on Australia as a Technology and Financial Centre,"First interim report
Report tabled: 2/9/2020
Second interim report
Report presented: 28/4/2021
Report tabled: 11/5/2021
Final report
Report tabled: 20/10/2021","Final report
Response presented: 25/1/2022
Response tabled: 8/2/2022
First interim report
Response tabled: 13/8/2024
Second interim report
Response tabled: 13/8/2024"
Australia Fund Establishment,Joint Select Committee on the Australia Fund Establishment,Report tabled: 25/6/2015,"Response presented: 20/6/2024
Response tabled: 24/6/2024"
Australia Post,Environment and Communications References Committee,"Report presented: 26/5/2021
Report tabled: 15/6/2021","Response presented: 23/5/2024
Response tabled: 24/6/2024"
"Australia's domestic response to the World Health Organization's (WHO) Commission on Social Determinants of Health report ""Closing the gap within a generation""",Community Affairs References Committee,Report tabled: 20/3/2013,"Response presented: 3/10/2024
Response tabled: 8/10/2024"
Australia's extinction crisis,Environment and Communications References Committee,"Interim report
Report presented: 23/5/2024
Report tabled: 24/6/2024","Response presented: 3/10/2024
Response tabled: 8/10/2024"
Australia's general aviation industry 46th Parliament,Rural and Regional Affairs and Transport Legislation Committee,"Interim report
Report tabled: 30/3/2022","Response presented: 7/6/2024
Response tabled: 24/6/2024"
Australia's skilled migration program,Joint Standing Committee on Migration,"Interim report
Report tabled: 11/5/2021
Final report
Report tabled: 11/8/2021","Final and interim reports
Response presented: 9/5/2024
Response tabled: 14/5/2024"
Australia-India Economic Cooperation and Trade Agreement,Joint Standing Committee on Treaties,"202nd report
Report tabled: 22/11/2022",Response tabled: 25/6/2024
Australian Antarctic Division funding,Environment and Communications References Committee,"Report presented: 9/5/2024
Report tabled: 14/5/2024","Response presented: 14/11/2024
Response tabled: 18/11/2024"
Australian Business Growth Fund Bill 2019,Economics Legislation Committee,"Report presented: 21/2/2020
Report tabled: 24/2/2020",Response tabled: 13/8/2024
Australian manufacturing industry,Economics References Committee,"Report presented: 7/2/2022
Report tabled: 8/2/2022","Response presented: 23/5/2024
Response tabled: 24/6/2024"
Australian Naval Nuclear Power Safety Bill 2023 and Australian Naval Nuclear Power Safety (Transitional Provisions) Bill 2023,"Foreign Affairs, Defence and Trade Legislation Committee","Report presented: 13/5/2024
Report tabled: 14/5/2024",Response tabled: 11/9/2024
Australian Research Council Amendment (Ensuring Research Independence) Bill 2018,Education and Employment Legislation Committee,"Report presented: 21/3/2022
Report tabled: 28/3/2022",Response tabled: 20/11/2024
Australian Research Council Amendment (Review Response) Bill 2023,Education and Employment Legislation Committee,"Report presented: 5/2/2024
Report tabled: 6/2/2024",Response tabled: 19/9/2024
Australia’s declarations made under certain international laws,"Foreign Affairs, Defence and Trade References Committee",Report tabled: 27/2/2020,"Response presented: 7/6/2024
Response tabled: 24/6/2024"
Australia’s Future in Research and Innovation,Joint Select Committee on Trade and Investment Growth,Report tabled: 3/5/2016,"Response presented: 23/5/2024
Response tabled: 24/6/2024"
Australia’s oil and gas reserves,Economics References Committee,"Report presented: 11/2/2022
Report tabled: 28/3/2022","Response presented: 20/6/2024
Response tabled: 24/6/2024"
Australia’s sovereign naval shipbuilding capability,Economics References Committee,"Ringing of bells, wringing of hands (First interim report)
Report presented: 28/5/2021
Report tabled: 15/6/2021
Future submarine acquisition: A shambles - we don't think we know (Second interim report)
Report presented: 28/2/2022
Report tabled: 28/3/2022
All at sea ...
Report presented: 18/5/2022
Report tabled: 26/7/2022","All at sea ...
Response presented: 18/8/2022
Response tabled: 5/9/2022
Interim report
Response tabled: 25/6/2024
Second interim report
Response tabled: 25/6/2024"
Availability and access to enabling communications infrastructure in Australia's external territories,Joint Standing Committee on the National Capital and External Territories,"Interim report
Report presented: 28/2/2022
Report tabled: 28/3/2022",Response tabled: 25/6/2024
Broadcasting Legislation Amendment (2021 Measures No.1) Bill 2021,Environment and Communications Legislation Committee,"Report presented: 18/6/2021
Report tabled: 21/6/2021",Response tabled: 14/5/2024
Canberra's national institutions,Joint Standing Committee on the National Capital and External Territories,"Telling Australia's Story - and why it's important
Report presented: 8/4/2019
Report tabled: 2/7/2019","Response presented: 10/5/2024
Response tabled: 14/5/2024"
Candidate qualification checklist,Joint Standing Committee on Electoral Matters,"Report presented: 31/3/2022
Report tabled: 26/7/2022",Response tabled: 14/5/2024
Capability and Culture of the NDIA,Joint Standing Committee on the National Disability Insurance Scheme,"Interim report
Report tabled: 13/6/2023
Final report
Report tabled: 16/11/2023","Final report
Response tabled: 20/3/2024"
Capital Increase WBG IBRD,Joint Standing Committee on Treaties,"189th report - Capital Increase WBG IBRD; Capital Increase WBG IFC; Amendments CMS; Termination IPPA-Indonesia
Report presented: 6/8/2020
Report tabled: 24/8/2020","Response presented: 23/5/2024
Response tabled: 24/6/2024"
Carbon Credits (Carbon Farming Initiative) Amendment Bill 2017,Environment and Communications Legislation Committee,Report tabled: 9/5/2017,"Response presented: 2/5/2024
Response tabled: 14/5/2024"
Certain Aspects of Queensland Government Administration,Select Committee into Certain Aspects of Queensland Government Administration related to Commonwealth Government Affairs,"Report presented: 27/3/2015
Report tabled: 11/5/2015","Response presented: 23/5/2024
Response tabled: 24/6/2024"
Clean Energy Finance Corporation Amendment (Grid Reliability Fund) Bill 2020,Environment and Communications Legislation Committee,"Report presented: 4/11/2020
Report tabled: 9/11/2020","Response presented: 2/5/2024
Response tabled: 14/5/2024"
Climate Change Amendment (Duty of Care and Intergenerational Climate Equity) Bill 2023,Environment and Communications Legislation Committee,Report tabled: 26/6/2024,"Response presented: 12/12/2024
Response tabled: 4/2/2025"
COAG Legislation Amendment Bill 2021,Finance and Public Administration Legislation Committee,Report tabled: 19/10/2021,"Response presented: 20/6/2024
Response tabled: 24/6/2024"
COAG Reform Fund Amendment (No Electric Vehicle Taxes) Bill 2020,Economics Legislation Committee,"Report presented: 7/5/2021
Report tabled: 11/5/2021",Response tabled: 13/8/2024
Commonwealth Electoral Amendment (Banning Dirty Donations) Bill 2020,Finance and Public Administration Legislation Committee,Report tabled: 16/3/2021,Response tabled: 14/5/2024
Commonwealth Electoral Amendment (Donation Reform and Other Measures) Bill 2020,Finance and Public Administration Legislation Committee,Report tabled: 3/12/2020,Response tabled: 14/5/2024
Commonwealth Electoral Amendment (Ensuring Fair Representation of the Northern Territory) Bill 2020,Joint Standing Committee on Electoral Matters,"Advisory report
Report tabled: 1/12/2020",Response tabled: 14/5/2024
Commonwealth Electoral Amendment (Integrity of Elections) Bill 2021,Finance and Public Administration Legislation Committee,"Report presented: 14/10/2021
Report tabled: 18/10/2021",Response tabled: 14/5/2024
Commonwealth Electoral Amendment (Lowering the Donation Disclosure Threshold) Bill 2019,Joint Standing Committee on Electoral Matters,"Report presented: 28/5/2020
Report tabled: 10/6/2020",Response tabled: 14/5/2024
Commonwealth Electoral Amendment (Real Time Disclosure of Political Donations) Bill 2019,Joint Standing Committee on Electoral Matters,"Advisory report
Report presented: 17/12/2019
Report tabled: 4/2/2020",Response tabled: 14/5/2024
Commonwealth grants administration,Joint Committee of Public Accounts and Audit,"495th report
Report presented: 29/6/2023
Report tabled: 31/7/2023",Response tabled: 11/9/2024
"Commonwealth procurement: Inquiry into Auditor-General Reports 6, 15, 30, 42 (2021-22) and 5 (2022-23)",Joint Committee of Public Accounts and Audit,"498th report - 'Commitment issues'
Report tabled: 9/8/2023","Response presented: 23/5/2024
Response tabled: 24/6/2024"
Competition and Consumer (Gas Market Code) Regulations 2023,Economics Legislation Committee,"Report presented: 6/10/2023
Report tabled: 16/10/2023","Response presented: 9/2/2024
Response tabled: 26/2/2024"
Competition and Consumer Amendment (Prevention of Exploitation of Indigenous Cultural Expressions) Bill 2019,Environment and Communications Legislation Committee,"Report presented: 16/4/2020
Report tabled: 12/5/2020",Response tabled: 13/8/2024
Compliance by former Ministers of State with the requirements of the Prime Minister's Statement of Ministerial Standards,Finance and Public Administration References Committee,"Report presented: 26/9/2019
Report tabled: 14/10/2019","Response presented: 20/6/2024
Response tabled: 24/6/2024"
Concussions and repeated head trauma in contact sports,Community Affairs References Committee,Report tabled: 5/9/2023,"Response presented: 14/11/2024
Response tabled: 18/11/2024"
"Consumer protection in the banking, insurance and financial sector",Economics References Committee,"Regulatory framework for the protection of consumers in the banking, insurance and financial services sector
Report tabled: 15/11/2018",Response tabled: 13/8/2024
Corporate Avoidance of the Fair Work Act,Education and Employment References Committee,Report tabled: 6/9/2017,"Response presented: 18/7/2024
Response tabled: 12/8/2024"
Corporate Tax Avoidance,Economics References Committee,"Part 3: Much heat, little light so far
Report presented: 30/5/2018
Report tabled: 18/6/2018",Response tabled: 13/8/2024
Corporate tax avoidance,Economics References Committee,"Part 1: You cannot tax what you cannot see
Report tabled: 18/8/2015
Part 2: Gaming the system
Report presented: 22/4/2016
Report tabled: 2/5/2016","Part 1
Response tabled: 13/8/2024
Part 2
Response tabled: 13/8/2024"
Corporations Amendment (Improving Outcomes for Litigation Funding Participants) Bill 2021,Parliamentary Joint Committee on Corporations and Financial Services,Report tabled: 23/11/2021,Response tabled: 13/8/2024
Corporations Amendment (Improving Outcomes for Litigation Funding Participants) Bill 2021,Economics Legislation Committee,"Report presented: 3/2/2022
Report tabled: 8/2/2022",Response tabled: 13/8/2024
COVID-19,Select Committee on COVID-19,"First interim report
Report tabled: 9/12/2020
Public interest immunity claims - Second interim report
Report tabled: 24/2/2021
Public interest immunity claims - Third interim report
Report tabled: 1/12/2021
Final report
Report presented: 7/4/2022
Report tabled: 26/7/2022","First interim report
Response presented: 14/11/2024
Response tabled: 18/11/2024
Final report
Response presented: 14/11/2024
Response tabled: 18/11/2024"
COVID-19 Royal Commission,Legal and Constitutional Affairs References Committee,"Report presented: 19/4/2024
Report tabled: 14/5/2024","Response presented: 5/9/2024
Response tabled: 9/9/2024"
Credit and financial services targeted at Australians at risk of financial hardship,Economics References Committee,"Credit and hardship
Report presented: 22/2/2019
Report tabled: 2/4/2019",Response tabled: 13/8/2024
Criminal Code Amendment (Deepfake Sexual Material) Bill 2024,Legal and Constitutional Affairs Legislation Committee,"Report presented: 8/8/2024
Report tabled: 12/8/2024","Response presented: 26/9/2024
Response tabled: 8/10/2024"
Criminal Code Amendment (Prohibition of Nazi Symbols) Bill 2023,Legal and Constitutional Affairs Legislation Committee,"Report presented: 18/5/2023
Report tabled: 13/6/2023","Response presented: 18/4/2024
Response tabled: 14/5/2024"
Currency (Restrictions on the Use of Cash) Bill 2019,Economics Legislation Committee,"Report presented: 28/2/2020
Report tabled: 23/3/2020",Response tabled: 13/8/2024
"Current and future impacts of climate change on housing, buildings and infrastructure",Environment and Communications References Committee,Report tabled: 13/8/2018,"Response presented: 2/5/2024
Response tabled: 14/5/2024"
Current and future impacts of climate change on marine fisheries and biodiversity,Environment and Communications References Committee,"In hot water: the impacts of climate change on marine fisheries and biodiversity
Report tabled: 6/12/2017","Response presented: 23/5/2024
Response tabled: 24/6/2024"
Current capability of the Australian Public Service (APS),Finance and Public Administration References Committee,"APS Inc: undermining public sector capability and performance
Report tabled: 25/11/2021","Response presented: 17/5/2024
Response tabled: 24/6/2024"
Current requirements for labelling of seafood and seafood products,Rural and Regional Affairs and Transport References Committee,"Report presented: 18/12/2014
Report tabled: 9/2/2015","Response tabled: 10/12/2020
Response presented: 23/5/2024
Response tabled: 24/6/2024"
Defence Legislation Amendment (Naval Nuclear Propulsion) Bill 2023 [Provisions],"Foreign Affairs, Defence and Trade Legislation Committee","Report presented: 9/6/2023
Report tabled: 13/6/2023",Response tabled: 25/6/2024
Defence Major Projects Report 2020-21 and 2021-22 and Procurement of Hunter Class Frigates,Joint Committee of Public Accounts and Audit,"496th report
Report presented: 29/6/2023
Report tabled: 31/7/2023
503rd report - Final report
Report tabled: 27/6/2024","Response to 496th report and interim report on the 2020-21 and 2021-22 Defence major projects
Response tabled: 25/6/2024"
Department of Foreign Affairs and Trade due diligence framework,"Foreign Affairs, Defence and Trade References Committee","Efficacy of the Department of Foreign Affairs and Trade due diligence framework
Report tabled: 7/12/2023",Response tabled: 10/9/2024
Digital ID Bill 2023 and the Digital ID (Transitional and Consequential Provisions) Bill 2023,Economics Legislation Committee,Report tabled: 28/2/2024,"Response presented: 8/8/2024
Response tabled: 12/8/2024"
"Economic, social and environmental sustainability in the Indian Ocean Territories",Joint Standing Committee on the National Capital and External Territories,"Interim report
Report presented: 28/2/2022
Report tabled: 28/3/2022",Response tabled: 25/6/2024
Effect of red tape on pharmacy rules,Red Tape Committee,"Fourth interim report
Report tabled: 15/2/2018","Response presented: 3/10/2024
Response tabled: 8/10/2024"
"Effect of red tape on the sale, supply and taxation of alcohol",Red Tape Committee,"Interim report
Report tabled: 29/3/2017",Response tabled: 13/8/2024
Effect of red tape on tobacco retail,Red Tape Committee,"Second interim report
Report presented: 27/6/2017
Report tabled: 8/8/2017","Response presented: 3/10/2024
Response tabled: 8/10/2024"
"Effective approaches to prevention, diagnosis and support for Fetal Alcohol Spectrum Disorder",Community Affairs References Committee,Report tabled: 17/3/2021,"Response presented: 5/12/2024
Response tabled: 4/2/2025"
Effectiveness of the current temporary skilled visa system in targeting genuine skills shortages,Legal and Constitutional Affairs References Committee,Report tabled: 2/4/2019,"Response presented: 9/5/2024
Response tabled: 14/5/2024"
Efficacy of current regulation of Australian migration agents,Joint Standing Committee on Migration,"Efficacy of current regulation of Australian migration and education agents
Report presented: 27/2/2019
Report tabled: 2/4/2019","Response presented: 9/5/2024
Response tabled: 14/5/2024"
"Efficacy, fairness, timeliness and costs of the processing and granting of visa classes which provide for or allow for family and partner reunions",Legal and Constitutional Affairs References Committee,Report tabled: 29/3/2022,"Response presented: 9/5/2024
Response tabled: 14/5/2024"
Electric Vehicles,Select Committee on Electric Vehicles,"Report presented: 30/1/2019
Report tabled: 12/2/2019","Response presented: 7/6/2024
Response tabled: 24/6/2024"
Environment Protection and Biodiversity Conservation Amendment (Regional Forest Agreements) Bill 2020,Environment and Communications Legislation Committee,Report tabled: 13/5/2021,"Response presented: 9/5/2024
Response tabled: 14/5/2024"
Environment Protection and Biodiversity Conservation Amendment (Standing) Bill 2015,Environment and Communications Legislation Committee,"Report presented: 18/11/2015
Report tabled: 23/11/2015","Response presented: 23/5/2024
Response tabled: 24/6/2024"
Expanding membership of the Comprehensive and Progressive Agreement for Trans-Pacific Partnership,"Joint Standing Committee on Foreign Affairs, Defence and Trade",Report tabled: 30/3/2022,Response tabled: 25/6/2024
Exploitation of general and specialist cleaners working in retail chains for contracting or subcontracting cleaning companies,Education and Employment References Committee,"Wage theft? What wage theft?!
Report tabled: 13/11/2018","Response presented: 18/7/2024
Response tabled: 12/8/2024"
Factors affecting the supply of health services and medical professionals in rural areas,Community Affairs References Committee,Report tabled: 22/8/2012,"Response presented: 3/10/2024
Response tabled: 8/10/2024"
Fair Work Amendment (Equal Pay for Equal Work) Bill 2022,Education and Employment Legislation Committee,"Report presented: 24/10/2022
Report tabled: 25/10/2022","Response presented: 18/4/2024
Response tabled: 14/5/2024"
Fair Work Amendment (Paid Family and Domestic Violence Leave) Bill 2022,Education and Employment Legislation Committee,"Report presented: 1/9/2022
Report tabled: 5/9/2022",Response tabled: 27/2/2024
Fair Work Amendment Bill 2024,Education and Employment Legislation Committee,"Report presented: 14/3/2024
Report tabled: 18/3/2024","Response presented: 11/7/2024
Response tabled: 12/8/2024"
Fair Work Legislation Amendment (Closing Loopholes No.2) Bill 2023,Education and Employment Legislation Committee,"Report presented: 1/2/2024
Report tabled: 6/2/2024","Response presented: 31/5/2024
Response tabled: 24/6/2024"
Family Law Amendment (Information Sharing) Bill 2023 [Provisions],Legal and Constitutional Affairs Legislation Committee,Report tabled: 14/6/2023,Response tabled: 27/2/2024
Family Law Amendment Bill 2023 [Provisions],Legal and Constitutional Affairs Legislation Committee,"Report presented: 24/8/2023
Report tabled: 4/9/2023","Response presented: 7/3/2024
Response tabled: 18/3/2024"
Financial Accountability Regime Bill 2021 and related bills,Economics Legislation Committee,"Report presented: 15/2/2022
Report tabled: 28/3/2022",Response tabled: 13/8/2024
Financial and tax practices of for-profit aged care providers,Economics References Committee,"Financial and tax practices of for-profit aged care providers
Report tabled: 27/11/2018","Response presented: 3/10/2024
Response tabled: 8/10/2024"
Fisheries quota system,Rural and Regional Affairs and Transport References Committee,"Report presented: 7/12/2022
Report tabled: 6/2/2023","Response presented: 11/4/2024
Response tabled: 14/5/2024"
Foreign Interference through social media,Select Committee on Foreign Interference through Social Media,"Interim report (presented by previous committee)
Report presented: 17/12/2021
Report tabled: 8/2/2022
Final report
Report tabled: 1/8/2023","Interim and final reports
Response presented: 5/7/2024
Response tabled: 12/8/2024"
Foreign Investment Reform (Protecting Australia's National Security) Bill 2020 and a related bill,Economics Legislation Committee,"Report presented: 26/11/2020
Report tabled: 30/11/2020",Response tabled: 13/8/2024
Funding for public research into foreign policy issues,"Foreign Affairs, Defence and Trade References Committee","Report presented: 17/8/2021
Report tabled: 23/8/2021","Response presented: 5/12/2024
Response tabled: 4/2/2025"
Future of Australia's naval shipbuilding industry,Economics References Committee,Report tabled: 28/6/2018,Response tabled: 25/6/2024
"Future of Australia’s aviation sector, in the context of COVID-19 and conditions post pandemic",Rural and Regional Affairs and Transport References Committee,"Interim report
Report tabled: 18/3/2021
Final report
Report presented: 17/3/2022
Report tabled: 28/3/2022","Response presented: 7/6/2024
Response tabled: 24/6/2024"
Future role and contribution of regional capitals to Australia,Rural and Regional Affairs and Transport References Committee,Report tabled: 24/11/2016,"Response presented: 7/6/2024
Response tabled: 24/6/2024"
Glencore’s proposed carbon capture and storage project,Environment and Communications References Committee,"Report presented: 11/7/2024
Report tabled: 12/8/2024","Response presented: 7/11/2024
Response tabled: 18/11/2024"
Government's Direct Action Plan,Environment and Communications References Committee,"Direct Action: Paying polluters to halt global warming?
Report tabled: 26/3/2014","Response presented: 2/5/2024
Response tabled: 14/5/2024"
Health,Select Committee on Health,"First interim report
Report tabled: 2/12/2014
Second interim report
Report tabled: 24/6/2015
Australian Hearing: Too important to privatise - Third interim report
Report tabled: 17/9/2015
Mental health: a consensus for action - Fourth interim report
Report presented: 8/10/2015
Report tabled: 12/10/2015
Black Lung: ""It has buggered my life"" - Fifth interim report
Report presented: 28/4/2016
Report tabled: 2/5/2016
Big health data: Australia's big potential - Sixth interim report
Report tabled: 4/5/2016
Final report - Hospital funding cuts: the perfect storm. The demolition of Federal-State health relations 2014-2016
Report presented: 5/5/2016
Report tabled: 30/8/2016","First interim report
Response tabled: 5/12/2017
Third interim report
Response presented: 25/7/2018
Response tabled: 13/8/2018
Fifth interim report
Response presented: 7/2/2019
Response tabled: 12/2/2019
Fourth interim report
Response presented: 3/10/2024
Response tabled: 8/10/2024
Sixth interim report
Response presented: 3/10/2024
Response tabled: 8/10/2024
Final report
Response presented: 3/10/2024
Response tabled: 8/10/2024"
Housing Australia Future Fund Bill 2023 [Provisions] National Housing Supply and Affordability Council Bill 2023 [Provisions] and Treasury Laws Amendment (Housing Measures No. 1) Bill 2023 [Provisions],Economics Legislation Committee,Report tabled: 22/3/2023,"Response presented: 22/2/2024
Response tabled: 26/2/2024"
Identification of leading practices in ensuring evidence-based regulation of farm practices that impact water quality outcomes in the Great Barrier Reef,Rural and Regional Affairs and Transport References Committee,Report tabled: 8/10/2020,"Response presented: 23/5/2024
Response tabled: 24/6/2024"
Immigration detention in Australia,Joint Standing Committee on Migration,"Report 1: Criteria for release from detention
Report tabled: 2/12/2008
Report 2: Community based alternatives to detention
Report tabled: 15/6/2009
Report 3: Facilities, Services and Transparency
Report tabled: 18/8/2009","Reports 1, 2 and 3
Response presented: 17/5/2024
Response tabled: 24/6/2024"
Impact of Australia's temporary work visa programs on the Australian labour market and on the temporary work visa holders,Education and Employment References Committee,"A national disgrace: The exploitation of temporary work visa holders
Report tabled: 17/3/2016","Response presented: 9/5/2024
Response tabled: 14/5/2024"
Impact of changes to service delivery models on the administration and running of Government programs,Legal and Constitutional Affairs References Committee,Report tabled: 27/2/2020,"Response presented: 11/10/2024
Response tabled: 18/11/2024"
Impact of Defence training activities and facilities on rural and regional communities,"Foreign Affairs, Defence and Trade References Committee","First interim report
Report tabled: 14/8/2017
Second interim report
Report tabled: 11/9/2017
Third interim report
Report tabled: 19/10/2017
Fourth interim report
Report tabled: 13/2/2018
Final report
Report presented: 11/5/2018
Report tabled: 18/6/2018","Final report
Response tabled: 13/11/2018
First interim report
Response tabled: 25/6/2024
Second interim report
Response tabled: 25/6/2024
Third interim report
Response tabled: 25/6/2024
Fourth interim report
Response tabled: 25/6/2024"
"Impact of feral deer, pigs and goats in Australia",Environment and Communications References Committee,"Report presented: 19/5/2021
Report tabled: 15/6/2021","Response presented: 23/5/2024
Response tabled: 24/6/2024"
Impacts and management of feral horses in the Australian Alps,Environment and Communications References Committee,"Report presented: 13/10/2023
Report tabled: 16/10/2023",Response tabled: 29/2/2024
Impacts of mining in the Murray Darling Basin,"Environment, Communications and the Arts References Committee","Report presented: 4/12/2009
Report tabled: 2/2/2010","Response presented: 23/5/2024
Response tabled: 24/6/2024"
Impairment of customer loans,Parliamentary Joint Committee on Corporations and Financial Services,Report tabled: 4/5/2016,Response tabled: 13/8/2024
Implementation of the National Health Reform Agreement,Finance and Public Administration References Committee,"Report presented: 7/3/2013
Report tabled: 12/3/2013","Response presented: 3/10/2024
Response tabled: 8/10/2024"
Inspector-General of Live Animal Exports Amendment (Animal Welfare) Bill 2023,Rural and Regional Affairs and Transport Legislation Committee,"Report presented: 30/8/2023
Report tabled: 4/9/2023",Response tabled: 14/5/2024
Integrity of Australia's border arrangements,Parliamentary Joint Committee on the Australian Commission for Law Enforcement Integrity,Report tabled: 8/12/2020,Response tabled: 25/6/2024
Integrity of the water market in the Murray-Darling Basin,Rural and Regional Affairs and Transport References Committee,"Interim report
Report tabled: 5/12/2017
Second interim report
Report tabled: 22/3/2018
Final report
Report tabled: 29/11/2018","Final report
Response presented: 23/5/2024
Response tabled: 24/6/2024"
Issues facing diaspora communities in Australia,"Foreign Affairs, Defence and Trade References Committee",Report tabled: 4/2/2021,"Response presented: 9/5/2024
Response tabled: 14/5/2024"
Jobs for the Future in Regional Areas,Select Committee into Jobs for the Future in Regional Areas,Report tabled: 4/12/2019,"Response presented: 2/5/2024
Response tabled: 14/5/2024"
Lessons to be learned in relation to the Australian bushfire season 2019-20,Finance and Public Administration References Committee,"Interim report
Report tabled: 7/10/2020
Final report
Report tabled: 2/12/2021","Interim report
Response presented: 6/5/2021
Response tabled: 11/5/2021
Final report
Response presented: 9/5/2024
Response tabled: 14/5/2024"
Life insurance industry,Parliamentary Joint Committee on Corporations and Financial Services,Report tabled: 28/3/2018,Response tabled: 13/8/2024
Local governance on Norfolk Island,Joint Standing Committee on the National Capital and External Territories,"Restoring democracy
Report tabled: 28/11/2023","Response presented: 11/4/2024
Response tabled: 14/5/2024"
Management of the Murray-Darling Basin,Rural and Regional Affairs and Transport References Committee,"Impact of mining coal seam gas on the management of the Murray Darling Basin - Interim report
Report presented: 30/11/2011
Report tabled: 7/2/2012
The Basin Plan - Second interim report
Report presented: 3/10/2012
Report tabled: 9/10/2012
Final report
Report tabled: 13/3/2013","Second interim report
Response presented: 31/5/2013
Response tabled: 17/6/2013
Final report
Response presented: 4/4/2018
Response tabled: 8/5/2018
Interim report
Response presented: 23/5/2024
Response tabled: 24/6/2024"
Matters relating to Section 44 of the Constitution,Joint Standing Committee on Electoral Matters,"Excluded: The impact of section 44 on Australian democracy
Report presented: 17/5/2018
Report tabled: 18/6/2018",Response tabled: 14/5/2024
Media diversity in Australia,Environment and Communications References Committee,"Report presented: 9/12/2021
Report tabled: 8/2/2022","Response presented: 9/8/2024
Response tabled: 12/8/2024"
