inquiry,committee,report,response
Health,Select Committee on Health,"First interim report
Report tabled: 2/12/2014
Second interim report
Report tabled: 24/6/2015
Australian Hearing: Too important to privatise - Third interim report
Report tabled: 17/9/2015
Mental health: a consensus for action - Fourth interim report
Report presented: 8/10/2015
Report tabled: 12/10/2015
Black Lung: ""It has buggered my life"" - Fifth interim report
Report presented: 28/4/2016
Report tabled: 2/5/2016
Big health data: Australia's big potential - Sixth interim report
Report tabled: 4/5/2016
Final report - Hospital funding cuts: the perfect storm. The demolition of Federal-State health relations 2014-2016
Report presented: 5/5/2016
Report tabled: 30/8/2016","First interim report
Response tabled: 5/12/2017
Third interim report
Response presented: 25/7/2018
Response tabled: 13/8/2018
Fifth interim report
Response presented: 7/2/2019
Response tabled: 12/2/2019
Fourth interim report
Response presented: 3/10/2024
Response tabled: 8/10/2024
Sixth interim report
Response presented: 3/10/2024
Response tabled: 8/10/2024
Final report
Response presented: 3/10/2024
Response tabled: 8/10/2024"
Human rights issues confronting women and girls in the Indian Ocean – Asia Pacific region,"Joint Standing Committee on Foreign Affairs, Defence and Trade","Empowering women and girls
Report tabled: 3/12/2015","Response presented: 10/4/2017
Response tabled: 9/5/2017"
Increasing use of so-called Flag of Convenience shipping in Australia,Rural and Regional Affairs and Transport References Committee,"Second interim report
Report tabled: 3/5/2016","Second interim report
Response tabled: 10/5/2017"
Insolvency in the Australian construction industry,Economics References Committee,"'I just want to be paid'
Report tabled: 3/12/2015",Response tabled: 13/6/2017
International Trade in Endangered Species - Amendments,Joint Standing Committee on Treaties,"171st report - Convention on International Trade in Endangered Flora and Fauna
Report tabled: 20/6/2017","Response presented: 20/12/2017
Response tabled: 5/2/2018"
Joint Strike Fighter,"Foreign Affairs, Defence and Trade References Committee","Planned acquisition of the F-35 Lightning II (Joint Strike Fighter)
Report tabled: 13/10/2016",Response tabled: 13/6/2017
LAND 17 Phase 1B/1C - Construction and upgrade of indirect fire support facilities,Parliamentary Standing Committee on Public Works,"1st report of 2017 - Referrals made October and November 2016: LAND 17 Phase 1B/1C; Australian Federal Police Security Enhancement; JP500 Phase 2A - Electronic Warfare Facility; Woomera Range Remediation Facilities
Report tabled: 14/2/2017",Response tabled: 5/9/2017
Medical complaints process in Australia,Community Affairs References Committee,Report tabled: 30/11/2016,Response tabled: 18/10/2017
Migration Amendment (Character and General Visa Cancellation) Bill 2014,Legal and Constitutional Affairs Legislation Committee,Report tabled: 24/11/2014,"Response presented: 7/8/2017
Response tabled: 8/8/2017"
Migration Amendment (Health Care for Asylum Seekers) Bill 2012,Legal and Constitutional Affairs Legislation Committee,"Report presented: 7/12/2012
Report tabled: 5/2/2013",Response tabled: 30/3/2017
Multiculturalism in Australia,Joint Standing Committee on Migration,"Migration and multiculturalism in Australia
Report tabled: 19/3/2013",Response tabled: 6/12/2017
Murray-Darling Basin Plan,Select Committee on the Murray-Darling Basin Plan,"Refreshing the Plan
Report tabled: 17/3/2016",Response tabled: 16/2/2017
Nuclear Cooperation - Ukraine,Joint Standing Committee on Treaties,"167th report―Nuclear Cooperation-Ukraine; Extradition-China
Report presented: 19/12/2016
Report tabled: 7/2/2017","Response tabled: 21/3/2017
Further response relating to nuclear cooperation with Ukraine
Response tabled: 13/6/2017"
Oil or Gas Production in the Great Australian Bight,Environment and Communications References Committee,Report tabled: 11/5/2017,"Response presented: 23/8/2017
Response tabled: 4/9/2017"
Operation of the Australian Defence Force's resistance to interrogation (RTI) training,"Foreign Affairs, Defence and Trade References Committee",Report tabled: 27/3/2017,"Response presented: 11/7/2017
Response tabled: 8/8/2017"
"Operation, effectiveness, and consequences of the Public Governance, Performance and Accountability (Location of Corporate Commonwealth Entities) Order 2016",Finance and Public Administration References Committee,"Report presented: 9/6/2017
Report tabled: 13/6/2017",Response tabled: 5/12/2017
Out of home care,Community Affairs References Committee,Report tabled: 19/8/2015,Response tabled: 12/9/2017
"Oversight of ASIC, the Takeovers Panel and the Corporations Legislation No.1 of 44th Parliament",Parliamentary Joint Committee on Corporations and Financial Services,"Report no.1 of 44th Parliament
Report tabled: 26/11/2014",Response tabled: 21/6/2017
Partial suspension of sanctions against Iran,"Foreign Affairs, Defence and Trade References Committee",Report tabled: 4/5/2016,"Response presented: 16/3/2017
Response tabled: 20/3/2017"
Personal choice and community impacts,Economics References Committee,"Interim report
Report tabled: 4/5/2016
Sale and use of marijuana and associated products
Report tabled: 4/5/2016
Bicycle helmet laws
Report tabled: 4/5/2016
Western Sydney Wanderers supporters
Report tabled: 4/5/2016
Sale and use of tobacco, tobacco products, nicotine products and e-cigarettes
Report presented: 6/5/2016
Report tabled: 30/8/2016
Sale and service of alcohol
Report presented: 6/5/2016
Report tabled: 30/8/2016
Classification of publications, films and computer games
Report presented: 6/5/2016
Report tabled: 30/8/2016","Bicycle helmet laws
Response tabled: 8/8/2017
Sale and use of marijuana and associated products
Response tabled: 4/3/2026"
Personal Liability for Corporate Fault Reform Bill 2012,Parliamentary Joint Committee on Corporations and Financial Services,Report tabled: 29/10/2012,Response tabled: 21/6/2017
"Possible impacts and consequences for public health, trade and agriculture of the Government’s decision to relax import restrictions on beef",Rural and Regional Affairs and Transport References Committee,"First report
Report tabled: 18/3/2010
Final report
Report tabled: 23/6/2010","First and final reports
Response presented: 24/8/2017
Response tabled: 4/9/2017"
"Prevalence of different types of speech, language and communication disorders and speech pathology services in Australia",Community Affairs References Committee,Report tabled: 2/9/2014,"Response presented: 13/12/2017
Response tabled: 5/2/2018"
Price regulation associated with the Prostheses List Framework,Community Affairs References Committee,Report tabled: 11/5/2017,Response tabled: 14/9/2017
Private Health Insurance (Prudential Supervision) Bill 2015 and related bills,Economics Legislation Committee,Report tabled: 17/6/2015,Response tabled: 28/3/2017
"Proposals to lift the professional, ethical and education standards in the financial services industry",Parliamentary Joint Committee on Corporations and Financial Services,"Report presented: 19/12/2014
Report tabled: 9/2/2015",Response tabled: 8/8/2017
Proposed Trans-Pacific Partnership (TPP) Agreement,"Foreign Affairs, Defence and Trade References Committee",Report tabled: 7/2/2017,"Response presented: 6/7/2017
Response tabled: 8/8/2017"
Protecting Local Jobs (Regulating Enterprise Migration Agreements) Bill 2012,"Education, Employment and Workplace Relations Legislation Committee",Report tabled: 12/3/2013,Response tabled: 17/10/2017
"Responses to, and lessons learnt from, the January and February 2016 bushfires in remote Tasmanian wilderness",Environment and Communications References Committee,"Report presented: 8/12/2016
Report tabled: 7/2/2017",Response tabled: 14/9/2017
Review of Administration and Expenditure No.14 (2014-2015),Parliamentary Joint Committee on Intelligence and Security,"Australian intelligence agencies
Report tabled: 21/3/2017",Response tabled: 16/8/2017
"Review of Auditor-General's Reports Nos 19, 20 and 23 (2014-15)",Joint Committee of Public Accounts and Audit,"Early Years Quality Fund
Report tabled: 23/2/2016",Response tabled: 14/2/2017
Review of the Telecommunications and Other Legislation Amendment Bill 2016,Parliamentary Joint Committee on Intelligence and Security,"Advisory report
Report presented: 30/6/2017
Report tabled: 8/8/2017",Response tabled: 9/8/2017
"Role of development partnerships in agriculture and agribusiness in promoting prosperity, reducing poverty and enhancing stability in the Indo-Pacific region","Joint Standing Committee on Foreign Affairs, Defence and Trade","Food for thought: improving health and nutrition in the Indo-Pacific region
Report tabled: 31/8/2016","Response presented: 25/1/2017
Response tabled: 7/2/2017"
"Safety, Rehabilitation and Compensation Legislation Amendment (Defence Force) Bill 2016","Foreign Affairs, Defence and Trade Legislation Committee",Report tabled: 20/3/2017,"Response presented: 26/5/2017
Response tabled: 13/6/2017"
Scrutiny of Financial Advice,Economics References Committee,"Part 1 - Land banking: a ticking time bomb
Report tabled: 24/2/2016",Response tabled: 8/8/2017
Scrutiny of Government Budget Measures,Select Committee into the Scrutiny of Government Budget Measures,"Abbott Government's Budget Cuts - Select Committee - First interim report
Report presented: 4/2/2015
Report tabled: 9/2/2015
Second interim report
Report presented: 29/4/2016
Report tabled: 2/5/2016
Third interim report
Report tabled: 3/5/2016
Fourth interim report
Report tabled: 3/5/2016","First interim report
Response tabled: 4/2/2016
Third interim report
Response presented: 3/4/2017
Response tabled: 9/5/2017
Fourth interim report
Response presented: 2/5/2024
Response tabled: 14/5/2024
Second interim report
Response presented: 7/6/2024
Response tabled: 24/6/2024"
Seasonal Worker Programme,Joint Standing Committee on Migration,"Seasonal change
Report tabled: 31/8/2016",Response tabled: 16/2/2017
Shipping Legislation Amendment Bill 2015,Rural and Regional Affairs and Transport Legislation Committee,Report tabled: 12/10/2015,Response tabled: 7/2/2017
Shortage of engineering and related employment skills,"Education, Employment and Workplace Relations References Committee","Report presented: 12/7/2012
Report tabled: 14/8/2012",Response tabled: 8/8/2017
"Social Security Legislation Amendment (Youth Jobs Path: Prepare, Trial, Hire) Bill 2016",Education and Employment Legislation Committee,Report tabled: 28/11/2016,"Response presented: 3/3/2017
Response tabled: 20/3/2017"
Social Services Legislation Amendment (Omnibus Savings and Child Care Reform) Bill 2017,Community Affairs Legislation Committee,Report tabled: 21/3/2017,"Response presented: 18/7/2017
Response tabled: 8/8/2017"
Social Services Legislation Amendment (Transition Mobility Allowance to the National Disability Insurance Scheme) Bill 2016,Community Affairs Legislation Committee,Report tabled: 24/11/2016,"Response presented: 28/6/2017
Response tabled: 8/8/2017"
"Stage One of the Garden Island (East), Critical Infrastructure Recovery Program, Sydney",Parliamentary Standing Committee on Public Works,"5th report of 2017 - Referrals received December 2016, February and March 2017
Report tabled: 13/6/2017",Response tabled: 14/9/2017
Suicide by veterans and ex-service personnel,"Foreign Affairs, Defence and Trade References Committee","The constant battle: Suicide by veterans
Report tabled: 15/8/2017","Response presented: 24/10/2017
Response tabled: 13/11/2017"
Third party certification of food,Economics References Committee,Report tabled: 1/12/2015,"Response presented: 2/8/2017
Response tabled: 8/8/2017"
Trans-Pacific Partnership,Joint Standing Committee on Treaties,"165th report
Report tabled: 30/11/2016","Response presented: 6/7/2017
Response tabled: 8/8/2017"
Transport Security Amendment (Serious or Organised Crime) Bill 2016,Rural and Regional Affairs and Transport Legislation Committee,"Report presented: 22/4/2016
Report tabled: 2/5/2016",Response tabled: 7/2/2017
Value of a justice reinvestment approach to criminal justice in Australia,Legal and Constitutional Affairs References Committee,Report tabled: 20/6/2013,Response tabled: 17/10/2017
Veterans' Affairs Legislation Amendment (2015 Budget Measures) Bill 2015,"Foreign Affairs, Defence and Trade Legislation Committee","Schedule 2 of the Veterans' Affairs Legislation Amendment (2015 Budget Measures) Bill 2015
Report presented: 25/9/2015
Report tabled: 12/10/2015","Response presented: 17/1/2017
Response tabled: 7/2/2017"
Veterans’ Affairs Legislation Amendment (Omnibus) Bill 2017,"Foreign Affairs, Defence and Trade Legislation Committee",Report tabled: 13/6/2017,"Response presented: 21/9/2017
Response tabled: 16/10/2017"
"Violence, abuse and neglect against people with disability in institutional and residential settings, including the gender and age related dimensions, and the particular situation of Aboriginal and Torres Strait Islander people with disability, and culturally and linguistically diverse people with disability",Community Affairs References Committee,Report tabled: 25/11/2015,"Response presented: 3/3/2017
Response tabled: 20/3/2017"
Working Holiday Maker Reform package,Economics Legislation Committee,Report tabled: 9/11/2016,"Response presented: 11/7/2017
Response tabled: 8/8/2017"
