inquiry,committee,report,response
Examination of the Annual Report of the Integrity Commissioner 2017-18,Parliamentary Joint Committee on the Australian Commission for Law Enforcement Integrity,Report tabled: 26/2/2020,"Response presented: 17/12/2020
Response tabled: 2/2/2021"
Examination of the Annual Report of the Integrity Commissioner 2018–19,Parliamentary Joint Committee on the Australian Commission for Law Enforcement Integrity,Report tabled: 3/9/2020,Response tabled: 3/12/2020
Family Assistance Legislation Amendment (Extend Family Assistance to ABSTUDY Secondary School Boarding Students Aged 16 and Over) Bill 2019,Community Affairs Legislation Committee,"Report presented: 5/9/2019
Report tabled: 9/9/2019","Response presented: 17/2/2020
Response tabled: 24/2/2020"
Feasibility of a National Horse Traceability Register for all horses,Rural and Regional Affairs and Transport References Committee,Report tabled: 27/11/2019,"Response presented: 10/9/2020
Response tabled: 6/10/2020"
General issues around the implementation and performance of the NDIS,Joint Standing Committee on the National Disability Insurance Scheme,"First progress report
Report tabled: 7/9/2017
Second progress report
Report presented: 29/3/2019
Report tabled: 2/4/2019","First progress report
Response tabled: 28/3/2018
Second progress report
Response presented: 24/3/2020
Response tabled: 8/4/2020"
"High rates of mental health conditions experienced by first responders, emergency service workers and volunteers",Education and Employment References Committee,"The people behind 000: mental health of our first responders
Report tabled: 14/2/2019",Response tabled: 25/2/2020
Human trafficking,Parliamentary Joint Committee on Law Enforcement,"Human trafficking, slavery and slavery-like practices
Report presented: 18/7/2017
Report tabled: 8/8/2017","Response presented: 9/10/2020
Response tabled: 9/11/2020"
Impact of the exercise of law enforcement and intelligence powers on the freedom of the press,Parliamentary Joint Committee on Intelligence and Security,Report tabled: 27/8/2020,"Response presented: 16/12/2020
Response tabled: 2/2/2021"
Investments Uruguay,Joint Standing Committee on Treaties,"Investments Uruguay, ISDS UN Convention and Convention SKAO
Report tabled: 3/12/2019",Response tabled: 16/6/2020
Joint Select Committee on oversight of the implementation of redress related recommendations of the Royal Commission into Institutional Responses to Child Sexual Abuse,Joint Select Committee on oversight of the implementation of redress related recommendations of the Royal Commission into Institutional Responses to Child Sexual Abuse,"Getting the National Redress Scheme right: an overdue step towards justice
Report tabled: 2/4/2019","Response presented: 18/2/2020
Response tabled: 24/2/2020"
Management of per- and polyfluoroalkyl substances (PFAS) contamination in and around Defence bases,"Joint Standing Committee on Foreign Affairs, Defence and Trade",Report tabled: 3/12/2018,"Response presented: 28/2/2020
Response tabled: 23/3/2020"
Market Readiness,Joint Standing Committee on the National Disability Insurance Scheme,"Market readiness for provision of services under the NDIS
Report tabled: 20/9/2018","Response presented: 24/3/2020
Response tabled: 8/4/2020"
Migration Amendment (Strengthening the Character Test) Bill 2018,Legal and Constitutional Affairs Legislation Committee,"Report presented: 17/12/2018
Report tabled: 12/2/2019
Dissenting report from Opposition senators
Report tabled: 14/2/2019","Response to reports relating to the 2018 and 2019 bills
Response tabled: 13/2/2020"
Migration Amendment (Strengthening the Character Test) Bill 2019 [Provisions],Legal and Constitutional Affairs Legislation Committee,"Report presented: 13/9/2019
Report tabled: 16/9/2019","Response to reports relating to the 2018 and 2019 bills
Response tabled: 13/2/2020"
My Health Record system,Community Affairs References Committee,"My Health Record system
Report tabled: 18/10/2018","Response presented: 5/11/2020
Response tabled: 9/11/2020"
NDIS Planning,Joint Standing Committee on the National Disability Insurance Scheme,"Interim report
Report tabled: 3/12/2019
Final report
Report tabled: 1/12/2020","Interim report
Response presented: 24/3/2020
Response tabled: 8/4/2020
Final report
Response tabled: 23/2/2021"
Non-conforming building products,Economics References Committee,"Aluminium composite cladding - interim report
Report tabled: 6/9/2017
Interim report
Report presented: 26/10/2017
Report tabled: 13/11/2017
Protecting Australians from the threat of asbestos - interim report
Report presented: 22/11/2017
Report tabled: 27/11/2017
The need for a coherent and robust regulatory regime
Report tabled: 4/12/2018","Aluminium composite cladding - interim report
Response tabled: 13/2/2018
Protecting Australians from the threat of asbestos - interim report
Response tabled: 21/8/2018
The need for a coherent and robust regulatory regime
Response presented: 23/4/2020
Response tabled: 12/5/2020"
Operation and effectiveness of the Franchising Code of Conduct,Parliamentary Joint Committee on Corporations and Financial Services,"Fairness in franchising
Report presented: 14/3/2019
Report tabled: 2/4/2019","Response presented: 20/8/2020
Response tabled: 24/8/2020"
Opportunities and methods for stimulating the tourism Industry in Northern Australia,Joint Standing Committee on Northern Australia,"Northern horizons: Unleashing our tourism potential - Inquiry into opportunities and methods for stimulating the tourism industry in northern Australia
Report tabled: 28/6/2018","Response presented: 17/9/2020
Response tabled: 6/10/2020"
Primary Industries (Customs) Charges Amendment (Dairy Cattle Export Charge) Bill 2020,Rural and Regional Affairs and Transport Legislation Committee,"Report presented: 30/7/2020
Report tabled: 24/8/2020",Response tabled: 9/12/2020
Protection of Aboriginal rock art of the Burrup Peninsula,Environment and Communications References Committee,"Protection of Aboriginal rock art of the Burrup Peninsula
Report tabled: 21/3/2018","Response presented: 25/6/2020
Response tabled: 24/8/2020"
Quality of Care Amendment (Minimising the Use of Restraints) Principles 2019,Parliamentary Joint Committee on Human Rights,Report tabled: 13/11/2019,Response tabled: 12/5/2020
Review of Administration and Expenditure No. 17 (2017-2018) - Australian Intelligence Agencies,Parliamentary Joint Committee on Intelligence and Security,Report tabled: 6/2/2020,"Response presented: 7/5/2020
Response tabled: 12/5/2020"
"Review of the re-listing of al-Shabaab, Hamas' Izz al-Din al-Qassam Brigades (Hamas Brigades), the Kurdistan Workers Party (PKK), Lashkar-e-Tayyiba (LeT) and Palestinian Islamic Jihad (PIJ) as terrorist organisations under the Criminal Code",Parliamentary Joint Committee on Intelligence and Security,Report tabled: 20/9/2018,"Response presented: 16/7/2020
Response tabled: 24/8/2020"
Support for Australia’s thalidomide survivors,Community Affairs References Committee,"Interim report
Report tabled: 14/2/2019
Final report
Report presented: 22/3/2019
Report tabled: 2/4/2019","Final report
Response presented: 12/10/2020
Response tabled: 9/11/2020"
Supported Independent Living,Joint Standing Committee on the National Disability Insurance Scheme,Report tabled: 13/5/2020,"Response presented: 20/8/2020
Response tabled: 24/8/2020"
Supporting Australia's exports and attracting investment,Joint Standing Committee on Trade and Investment Growth,"Trade transformation: Supporting Australia's export and investment opportunities
Report tabled: 11/6/2020","Response presented: 1/10/2020
Response tabled: 6/10/2020"
Theft and export of motor vehicles and parts,Parliamentary Joint Committee on Law Enforcement,Report tabled: 23/7/2019,"Response presented: 23/7/2020
Response tabled: 24/8/2020"
