inquiry,committee,report,response
"Impact on service quality, efficiency and sustainability of recent Commonwealth community service tendering processes by the Department of Social Services",Community Affairs References Committee,"Interim report
Report tabled: 13/5/2015
Final report
Report tabled: 16/9/2015","Interim and final reports
Response presented: 15/1/2016
Response tabled: 2/2/2016"
Implementation and administration of the National Disability Insurance Scheme,Joint Standing Committee on the National Disability Insurance Scheme,"First progress report
Report presented: 29/7/2014
Report tabled: 26/8/2014
Second progress report
Report tabled: 12/11/2015","First progress report
Response tabled: 3/3/2015
Second progress report
Response tabled: 17/3/2016"
Implications of the restriction on the use of fenthion on Australia’s horticultural industry,Rural and Regional Affairs and Transport References Committee,"Report presented: 31/7/2014
Report tabled: 26/8/2014","Response presented: 5/10/2016
Response tabled: 10/10/2016"
Industry structures and systems governing the imposition of and disbursement of marketing and research and development (R&D) levies in the agricultural sector,Rural and Regional Affairs and Transport References Committee,"Report presented: 30/6/2015
Report tabled: 10/8/2015","Response presented: 5/5/2016
Response tabled: 30/8/2016"
Matters relating to credit card interest rates,Economics References Committee,"Interest rates and informed choice in the Australian credit card market
Report presented: 16/12/2015
Report tabled: 2/2/2016","Response presented: 6/5/2016
Response tabled: 30/8/2016"
Need for a national approach to retail leasing arrangements,Economics References Committee,Report tabled: 18/3/2015,Response tabled: 24/2/2016
Palliative Care in Australia,Community Affairs References Committee,Report tabled: 10/10/2012,"Response presented: 6/5/2016
Response tabled: 30/8/2016"
Performance and management of electricity network companies,Environment and Communications References Committee,"Interim report
Report presented: 20/4/2015
Report tabled: 11/5/2015
Final report
Report presented: 5/6/2015
Report tabled: 15/6/2015","Interim and final reports
Response presented: 27/4/2016
Response tabled: 2/5/2016"
"Potential use by the Australian Defence Force of unmanned air, maritime and land platforms","Foreign Affairs, Defence and Trade References Committee",Report tabled: 25/6/2015,Response tabled: 3/3/2016
Practice of sports science in Australia,Rural and Regional Affairs and Transport References Committee,"Report presented: 23/7/2013
Report tabled: 12/11/2013",Response tabled: 30/11/2016
Primary Industries Levies and Charges Collection Amendment Bill 2016,Rural and Regional Affairs and Transport Legislation Committee,"Report presented: 22/4/2016
Report tabled: 2/5/2016",Response tabled: 30/11/2016
Proposed China-Australia Free Trade Agreement,"Foreign Affairs, Defence and Trade References Committee","Report presented: 6/11/2015
Report tabled: 9/11/2015","Response presented: 8/4/2016
Response tabled: 18/4/2016"
Review of Auditor-General's Report No 9 (2014-15),Joint Committee of Public Accounts and Audit,"449th report - Regional Development Australia Fund, military equipment disposal and tariff concessions: Review of Auditor-General's reports nos 1 to 23 (2014-15)
Report tabled: 12/8/2015",Response tabled: 23/2/2016
"Review of Auditor-General's Reports Nos 34, 37 and 41 (2014-15)",Joint Committee of Public Accounts and Audit,"452nd report―Natural disaster recovery, Centrelink telephone services and Safer Streets program: Review of Auditor-General's reports nos 24 to 50 (2014-15)
Report presented: 7/12/2015
Report tabled: 2/2/2016",Response tabled: 10/11/2016
Review of the Defence Annual Report 2013-14,"Joint Standing Committee on Foreign Affairs, Defence and Trade",Report tabled: 1/12/2015,Response tabled: 22/11/2016
"Review of the re-listing of al-Shabaab, Hamas' Izz al-Din al-Qassam Brigades (Hamas Brigades), Lashkar-e-Tayyiba (LeT), the Kurdistan Workers Party (PKK), and Palestinian Islamic Jihad as terrorist organisations",Parliamentary Joint Committee on Intelligence and Security,Report tabled: 12/10/2015,Response tabled: 3/5/2016
Role of the private sector in promoting economic growth and reducing poverty in the Indo-Pacific region,"Joint Standing Committee on Foreign Affairs, Defence and Trade","Partnering for the greater good
Report tabled: 23/6/2015","Response presented: 31/3/2016
Response tabled: 18/4/2016"
Scrutiny of Government Budget Measures,Select Committee into the Scrutiny of Government Budget Measures,"Abbott Government's Budget Cuts - Select Committee - First interim report
Report presented: 4/2/2015
Report tabled: 9/2/2015
Second interim report
Report presented: 29/4/2016
Report tabled: 2/5/2016
Third interim report
Report tabled: 3/5/2016
Fourth interim report
Report tabled: 3/5/2016","First interim report
Response tabled: 4/2/2016
Third interim report
Response presented: 3/4/2017
Response tabled: 9/5/2017
Fourth interim report
Response presented: 2/5/2024
Response tabled: 14/5/2024
Second interim report
Response presented: 7/6/2024
Response tabled: 24/6/2024"
Select Committee on the Recent Allegations relating to Conditions and Circumstances at the Regional Processing Centre in Nauru,Select Committee on the Recent Allegations relating to Conditions and Circumstances at the Regional Processing Centre in Nauru,"Interim report
Report presented: 12/6/2015
Report tabled: 15/6/2015
Report
Report presented: 31/7/2015
Report tabled: 10/8/2015
Final report - Taking responsibility: conditions and circumstances at Australia's regional processing centre in Nauru
Report presented: 31/8/2015
Report tabled: 7/9/2015","Interim report
Response presented: 15/1/2016
Response tabled: 2/2/2016
Final report
Response presented: 15/1/2016
Response tabled: 2/2/2016"
Select Committee on Wind Turbines,Select Committee on Wind Turbines,"Report presented: 3/8/2015
Report tabled: 10/8/2015","Response presented: 8/12/2016
Response tabled: 7/2/2017"
The Commonwealth’s treaty-making process,"Foreign Affairs, Defence and Trade References Committee","Blind agreement: reforming Australia's treaty-making process
Report tabled: 25/6/2015",Response tabled: 2/2/2016
Treaty tabled 17 June 2015,Joint Standing Committee on Treaties,"154th report
Report tabled: 10/11/2015","Response presented: 21/4/2016
Response tabled: 2/5/2016"
Use of smoke alarms to prevent smoke and fire related deaths,Legal and Constitutional Affairs References Committee,"Report presented: 20/4/2016
Report tabled: 2/5/2016",Response tabled: 13/10/2016
Voice for Animals (Independent Office of Animal Welfare) Bill 2015,Rural and Regional Affairs and Transport Legislation Committee,Report tabled: 15/10/2015,"Response presented: 5/5/2016
Response tabled: 30/8/2016"
Work undertaken by the Australian Federal Police's Oil for Food Taskforce,Legal and Constitutional Affairs References Committee,Report tabled: 24/3/2015,Response tabled: 3/2/2016
