inquiry,committee,report,response
Antisemitism at Australian universities,Parliamentary Joint Committee on Human Rights,Report tabled: 13/2/2025,Response tabled: 24/3/2026
Australia's efforts to advocate for the worldwide abolition of the death penalty,"Joint Standing Committee on Foreign Affairs, Defence and Trade",Report tabled: 4/2/2025,Response tabled: 25/6/2026
Australian winegrape purchases code of conduct,Rural and Regional Affairs and Transport References Committee,"Report presented: 28/2/2025
Report tabled: 25/3/2025","Response presented: 23/4/2026
Response tabled: 12/5/2026"
Australia’s engagement in Afghanistan,"Foreign Affairs, Defence and Trade References Committee","Interim report
Report presented: 21/1/2022
Report tabled: 8/2/2022
Final report
Report presented: 5/4/2022
Report tabled: 26/7/2022","Final report
Response tabled: 14/5/2026"
Australia’s illicit drug problem: Challenges and opportunities for law enforcement,Parliamentary Joint Committee on Law Enforcement,"Report presented: 21/5/2024
Report tabled: 24/6/2024","Response presented: 23/4/2026
Response tabled: 12/5/2026"
"Australia’s preparedness to host Commonwealth, Olympic and Paralympic Games",Rural and Regional Affairs and Transport References Committee,"Interim report
Report tabled: 14/9/2023
Second interim report
Report tabled: 7/12/2023
Final report
Report presented: 17/4/2025","Response presented: 23/1/2026
Response tabled: 3/2/2026"
Australia’s response to the priorities of Pacific Island countries and the Pacific region,"Joint Standing Committee on Foreign Affairs, Defence and Trade","Pursuing the priorities of the Pacific
Report tabled: 28/11/2024",Response tabled: 12/5/2026
Australia’s sanctions regime,"Foreign Affairs, Defence and Trade References Committee",Report tabled: 11/2/2025,Response tabled: 30/6/2026
Australia’s tourism and international education sectors,"Joint Standing Committee on Foreign Affairs, Defence and Trade","Interim report: Quality and Integrity - The Quest for Sustainable Growth - Interim report into international education
Report tabled: 19/10/2023
Final report: 'Are we there yet?' From recovery to resilience - opportunities and challenges for Australia's tourism sector
Report presented: 1/10/2024
Report tabled: 8/10/2024","Interim report
Response tabled: 31/3/2026
Final report
Response tabled: 31/3/2026"
Bank closures in regional Australia,Rural and Regional Affairs and Transport References Committee,"Protecting the future of regional banking
Report presented: 24/5/2024
Report tabled: 24/6/2024",Response tabled: 23/6/2026
"Civics education, engagement, and participation in Australia",Joint Standing Committee on Electoral Matters,"From classroom to community: Civics education and political participation in Australia
Report tabled: 5/2/2025","Response presented: 7/5/2026
Response tabled: 12/5/2026"
Climate risk assessment,Environment and Communications References Committee,"Report presented: 10/12/2025
Report tabled: 19/1/2026","Response presented: 21/5/2026
Response tabled: 22/6/2026"
Climate-related marine invasive species,Environment and Communications References Committee,"Win-win under our oceans
Report presented: 3/11/2023
Report tabled: 6/11/2023",Response tabled: 1/4/2026
COAG Legislation Amendment Bill 2023,Finance and Public Administration Legislation Committee,"Report presented: 14/3/2024
Report tabled: 18/3/2024","Response presented: 30/4/2026
Response tabled: 12/5/2026"
"Cocos (Keeling) Islands — West Island, Seawater Reverse Osmosis Plant Project",Parliamentary Standing Committee on Public Works,"3rd report of 2023
Report tabled: 9/5/2023",Response tabled: 30/6/2026
Commission of Inquiry into Antisemitism at Australian Universities Bill 2024 (No. 2),Legal and Constitutional Affairs Legislation Committee,"Report presented: 1/10/2024
Report tabled: 8/10/2024",Response tabled: 24/3/2026
Commonwealth Financial Statements - Inquiry based on Auditor-General's report No. 24 (2017-18),Joint Committee of Public Accounts and Audit,"477th report - Commonwealth financial statements - Second report; and Foreign investment in real estate
Report tabled: 2/4/2019",Response tabled: 22/6/2026
Communications Legislation Amendment (Prominence and Anti-siphoning) Bill 2023,Environment and Communications Legislation Committee,"Report presented: 9/4/2024
Report tabled: 14/5/2024","Response presented: 22/5/2026
Response tabled: 22/6/2026"
Comprehensive revision of the Telecommunications (Interception and Access) Act 1979,Legal and Constitutional Affairs References Committee,Report tabled: 24/3/2015,Response tabled: 12/3/2026
Copyright Legislation Amendment (Fair Pay for Radio Play) Bill 2023,Legal and Constitutional Affairs Legislation Committee,"Report presented: 20/6/2024
Report tabled: 24/6/2024",Response tabled: 24/3/2026
Corporate insolvency in Australia,Parliamentary Joint Committee on Corporations and Financial Services,"Report presented: 12/7/2023
Report tabled: 31/7/2023","Response presented: 6/8/2026
Response tabled: 11/8/2026"
Corporations (Aboriginal and Torres Strait Islander) Amendment Bill 2021,Finance and Public Administration Legislation Committee,"Report presented: 14/10/2021
Report tabled: 18/10/2021",Response tabled: 1/4/2026
"COVID-19, criminal activity and law enforcement",Parliamentary Joint Committee on Law Enforcement,Report tabled: 23/6/2021,Response tabled: 4/3/2026
Crimes Amendment (Strengthening the Criminal Justice Response to Sexual Violence) Bill 2024,Legal and Constitutional Affairs Legislation Committee,"Report presented: 24/4/2024
Report tabled: 14/5/2024","Response presented: 19/3/2026
Response tabled: 23/3/2026"
Crimes Legislation Amendment (Combatting Foreign Bribery) Bill 2023 [Provisions],Legal and Constitutional Affairs Legislation Committee,"Report presented: 26/7/2023
Report tabled: 31/7/2023","Response presented: 19/3/2026
Response tabled: 23/3/2026"
Criminal Code Amendment (Animal Protection) Bill 2015,Rural and Regional Affairs and Transport Legislation Committee,"Report
Report presented: 12/6/2015
Report tabled: 15/6/2015
Dissenting report by Opposition senators
Report tabled: 16/6/2015","Report
Response presented: 19/3/2026
Response tabled: 23/3/2026"
"Criminal Code Amendment (Genocide, Crimes Against Humanity and War Crimes) Bill 2024",Legal and Constitutional Affairs Legislation Committee,"Report presented: 13/11/2024
Report tabled: 18/11/2024","Response presented: 22/5/2026
Response tabled: 22/6/2026"
Criminal Code Amendment (Hate Crimes) Bill 2024,Legal and Constitutional Affairs Legislation Committee,"Report presented: 12/12/2024
Report tabled: 4/2/2025","Response presented: 22/5/2026
Response tabled: 22/6/2026"
Criminal Code Amendment (Sharing of Abhorrent Violent Material) Act 2019,Parliamentary Joint Committee on Law Enforcement,Report tabled: 9/2/2022,"Response presented: 21/5/2026
Response tabled: 22/6/2026"
Crystal methamphetamine (ice),Parliamentary Joint Committee on Law Enforcement,"Inquiry into crystal methamphetamine (ice) - First report
Report tabled: 7/9/2017
Inquiry into crystal methamphetamine (ice) - Final report
Report tabled: 28/3/2018","First and final reports
Response tabled: 4/3/2026"
Current and proposed sexual consent laws in Australia,Legal and Constitutional Affairs References Committee,Report tabled: 14/9/2023,Response tabled: 20/8/2026
Customs Legislation Amendment (False Trade Marks Infringement Notices) Bill 2026,Legal and Constitutional Affairs Legislation Committee,"Report presented: 5/5/2026
Report tabled: 12/5/2026",Response tabled: 13/8/2026
Cyclone reinsurance pool,Joint Select Committee on Northern Australia,"First report
Report tabled: 30/3/2023
Final report
Report presented: 27/3/2025","First report
Response tabled: 20/8/2026
Final report
Response tabled: 20/8/2026"
Defence Amendment (Defence Honours and Awards Appeals Tribunal) Bill 2025,"Foreign Affairs, Defence and Trade Legislation Committee","Report presented: 21/11/2025
Report tabled: 24/11/2025",Response tabled: 24/3/2026
Defence Trade Controls Amendment Bill 2023,"Foreign Affairs, Defence and Trade Legislation Committee","Report presented: 15/3/2024
Report tabled: 18/3/2024","Response presented: 30/4/2026
Response tabled: 12/5/2026"
Definitions of meat and other animal products,Rural and Regional Affairs and Transport Legislation Committee,"Don't mince words
Report presented: 24/2/2022
Report tabled: 28/3/2022","Response presented: 23/4/2026
Response tabled: 12/5/2026"
"Department of Agriculture, Water and the Environment Scientific Research Station Modernisation, Macquarie Island",Parliamentary Standing Committee on Public Works,"6th report of 2021
Report tabled: 24/8/2021",Response tabled: 12/5/2026
Department of Defence — Explosive Ordnance Facilities Northern NSW Redevelopment project,Parliamentary Standing Committee on Public Works,"7th report of 2024
Report tabled: 19/11/2024","Response presented: 30/4/2026
Response tabled: 12/5/2026"
Department of Defence — Facilities to Support Advanced Growler Phase 6,Parliamentary Standing Committee on Public Works,"4th report of 2024
Report tabled: 25/6/2024","Response presented: 30/4/2026
Response tabled: 12/5/2026"
"Department of Defence — Submarine Rotational Force—West, Priority Works, HMAS Stirling, Western Australia",Parliamentary Standing Committee on Public Works,"6th report of 2024
Report tabled: 20/8/2024","Response presented: 7/5/2026
Response tabled: 12/5/2026"
Digital Assets (Market Regulation) Bill 2023,Economics Legislation Committee,Report tabled: 4/9/2023,Response tabled: 31/3/2026
Drafting services for non-government senators,"Standing Committee on Appropriations, Staffing and Security","69th report
Report presented: 21/10/2025
Report tabled: 27/10/2025","Response presented: 21/5/2026
Response tabled: 22/6/2026"
Economic self-determination and opportunities for First Nations Australians,Joint Standing Committee on Aboriginal and Torres Strait Islander Affairs,Report tabled: 26/11/2024,Response tabled: 31/3/2026
Education and Other Legislation Amendment (Abolishing Indexation and Raising the Minimum Repayment Income for Education and Training Loans) Bill 2022,Education and Employment Legislation Committee,"Report presented: 17/4/2023
Report tabled: 9/5/2023","Response presented: 7/5/2026
Response tabled: 12/5/2026"
Education Legislation Amendment (Startup Year and Other Measures) Bill 2023 [Provisions],Education and Employment Legislation Committee,"Report presented: 28/4/2023
Report tabled: 9/5/2023",Response tabled: 1/4/2026
Education Services for Overseas Students Amendment (Quality and Integrity) Bill 2024 [Provisions],Education and Employment Legislation Committee,Report tabled: 9/10/2024,Response tabled: 12/5/2026
Eighty ninth annual report,Parliamentary Standing Committee on Public Works,Report tabled: 4/3/2026,"Response presented: 7/5/2026
Response tabled: 12/5/2026"
Establishment of a National Integrity Commission,Select Committee on the establishment of a National Integrity Commission,Report tabled: 3/5/2016,"Response presented: 19/3/2026
Response tabled: 23/3/2026"
"Ethics and Professional Accountability: Structural Challenges in the Audit, Assurance and Consultancy Industry",Parliamentary Joint Committee on Corporations and Financial Services,"Report presented: 7/11/2024
Report tabled: 18/11/2024",Response tabled: 5/2/2026
Examination of legislation in accordance with the Human Rights (Parliamentary Scrutiny) Act 2011 - Stronger Futures in the Northern Territory Act 2012 and related legislation,Parliamentary Joint Committee on Human Rights,"11th report of 2013
Report tabled: 27/6/2013",Response tabled: 1/4/2026
Examination of the Annual Report of the Integrity Commissioner 2020-21,Parliamentary Joint Committee on the Australian Commission for Law Enforcement Integrity,Report tabled: 30/3/2022,"Response presented: 19/3/2026
Response tabled: 23/3/2026"
Examination of the Australian Federal Police annual report 2015-16,Parliamentary Joint Committee on Law Enforcement,Report tabled: 8/5/2018,Response tabled: 4/3/2026
Extent and nature of poverty in Australia,Community Affairs References Committee,"Interim report
Report presented: 4/5/2023
Report tabled: 9/5/2023
Final report
Report tabled: 28/2/2024","Final report
Response tabled: 1/4/2026"
Family Assistance Legislation Amendment (Cheaper Child Care) Bill 2022 [Provisions],Education and Employment Legislation Committee,"Report presented: 16/11/2022
Report tabled: 21/11/2022",Response tabled: 1/4/2026
Family Law Amendment (Federal Family Violence Orders) Bill 2021 [Provisions],Legal and Constitutional Affairs Legislation Committee,"Report presented: 29/7/2021
Report tabled: 3/8/2021","Response presented: 19/3/2026
Response tabled: 23/3/2026"
Family Law Amendment (Financial Agreements and Other Measures) Bill 2015,Legal and Constitutional Affairs Legislation Committee,Report tabled: 24/2/2016,"Response presented: 19/3/2026
Response tabled: 23/3/2026"
Family Law Amendment (Parenting Management Hearings) Bill 2017,Legal and Constitutional Affairs Legislation Committee,Report tabled: 26/3/2018,"Response presented: 19/3/2026
Response tabled: 23/3/2026"
Financial related crime,Parliamentary Joint Committee on Law Enforcement,Report tabled: 8/9/2015,Response tabled: 4/3/2026
Fostering and promoting the significance of Australia’s National Capital,Joint Standing Committee on the National Capital and External Territories,"A Capital for All Australians
Report tabled: 25/6/2024","Response presented: 29/5/2026
Response tabled: 22/6/2026"
"Freedom of Speech Legislation Amendment (Censorship) Bill 2018, Freedom of Speech Legislation Amendment (Insult and Offend) Bill 2018, Freedom of Speech Legislation Amendment (Security) Bill 2018",Legal and Constitutional Affairs Legislation Committee,"Report presented: 8/3/2019
Report tabled: 2/4/2019",Response tabled: 1/4/2026
Funding and resourcing for the CSIRO,Economics References Committee,"Report presented: 28/4/2026
Report tabled: 12/5/2026","Response presented: 6/8/2026
Response tabled: 11/8/2026"
Future Made in Australia (Production Tax Credits and Other Measures) Bill 2024,Economics Legislation Committee,"Report presented: 31/1/2025
Report tabled: 4/2/2025",Response tabled: 31/3/2026
Future Made in Australia Bill 2024 and a related bill,Economics Legislation Committee,"Report presented: 6/9/2024
Report tabled: 9/9/2024","Response presented: 18/6/2026
Response tabled: 22/6/2026"
Help to Buy Bill 2023 and the Help to Buy (Consequential Provisions) Bill 2023 [Provisions],Economics Legislation Committee,"Report presented: 18/4/2024
Report tabled: 14/5/2024","Response presented: 30/7/2026
Response tabled: 11/8/2026"
Higher Education Support Amendment (Response to the Australian Universities Accord Interim Report) Bill 2023,Education and Employment Legislation Committee,"Report presented: 11/10/2023
Report tabled: 16/10/2023
Dissenting report from coalition senators
Report presented: 12/10/2023
Report tabled: 16/10/2023","Response presented: 7/5/2026
Response tabled: 12/5/2026"
Higher Education Support Amendment (Reverse Job-Ready Graduates Fee Hikes and End 50k Arts Degrees) Bill 2025,Education and Employment Legislation Committee,Report tabled: 25/6/2026,Response tabled: 20/8/2026
Home Affairs 101 George Street Parramatta Fit-Out,Parliamentary Standing Committee on Public Works,"5th report of 2021
Report tabled: 24/8/2021","Response presented: 23/4/2026
Response tabled: 12/5/2026"
Human rights of women and children,"Joint Standing Committee on Foreign Affairs, Defence and Trade","The pursuit of equality
Report tabled: 30/11/2023",Response tabled: 12/3/2026
Identity Verification Services Bill 2023 and the Identity Verification Services (Consequential Amendments) Bill 2023 [Provisions],Legal and Constitutional Affairs Legislation Committee,Report tabled: 9/11/2023,"Response presented: 19/3/2026
Response tabled: 23/3/2026"
Illegal Logging Prohibition Amendment (Strengthening Measures to Prevent Illegal Timber Trade) Bill 2024 [Provisions],Rural and Regional Affairs and Transport Legislation Committee,"Report presented: 20/6/2024
Report tabled: 24/6/2024",Response tabled: 5/2/2026
Immigration (Education) Amendment (Expanding Access to English Tuition) Bill 2020,Legal and Constitutional Affairs Legislation Committee,"Report presented: 27/11/2020
Report tabled: 30/11/2020",Response tabled: 1/4/2026
Impact of new and emerging information and communications technology,Parliamentary Joint Committee on Law Enforcement,Report tabled: 23/7/2019,Response tabled: 3/2/2026
Implementation of the National Redress Scheme,Joint Select Committee on Implementation of the National Redress Scheme,"First interim report
Report presented: 7/5/2020
Report tabled: 12/5/2020
Second interim report
Report tabled: 23/11/2021
Final report - Redress: Journey to justice
Report tabled: 26/11/2024","First interim report
Response presented: 30/9/2021
Response tabled: 18/10/2021
Second interim report
Response presented: 27/7/2023
Response tabled: 31/7/2023
Final report
Response tabled: 4/3/2026"
Implications of climate change for Australia's national security,"Foreign Affairs, Defence and Trade References Committee","Report presented: 17/5/2018
Report tabled: 18/6/2018",Response tabled: 1/4/2026
"Implications of the COVID-19 pandemic for Australia’s foreign affairs, defence and trade","Joint Standing Committee on Foreign Affairs, Defence and Trade",Report tabled: 8/12/2020,Response tabled: 23/6/2026
Importance of Antarctica to Australia's national interests,Joint Standing Committee on the National Capital and External Territories,Report tabled: 11/2/2025,Response tabled: 12/5/2026
Indefinite detention of people with cognitive and psychiatric impairment in Australia,Community Affairs References Committee,"Indefinite detention of people with cognitive and psychiatric impairment in Australia
Report tabled: 29/11/2016","Response presented: 30/4/2026
Response tabled: 12/5/2026"
Integrity of overseas Commonwealth law enforcement operations,Parliamentary Joint Committee on the Australian Commission for Law Enforcement Integrity,Report tabled: 27/6/2013,"Response presented: 19/3/2026
Response tabled: 23/3/2026"
Internet Search Engine Services Online Safety Code,Environment and Communications References Committee,"Internet search engine services online safety code and under 16 social media ban
Report tabled: 26/11/2025","Response presented: 7/5/2026
Response tabled: 12/5/2026"
Issue of increasing disruption in Australian school classrooms,Education and Employment References Committee,"Interim report
Report presented: 1/12/2023
Report tabled: 4/12/2023
Final report
Report tabled: 7/2/2024","Response presented: 7/5/2026
Response tabled: 12/5/2026"
Joint Select Committee on Constitutional Recognition of Aboriginal and Torres Strait Islander Peoples,Joint Select Committee on Constitutional Recognition of Aboriginal and Torres Strait Islander Peoples,"Interim report
Report tabled: 16/7/2014
Progress report
Report tabled: 28/10/2014
Final report
Report tabled: 25/6/2015","Progress and final reports
Response presented: 30/4/2026
Response tabled: 12/5/2026"
Joint Select Committee on Constitutional Recognition relating to Aboriginal and Torres Strait Islander Peoples,Joint Select Committee on Constitutional Recognition relating to Aboriginal and Torres Strait Islander Peoples,"Report presented: 27/7/2018
Report tabled: 13/8/2018
Final report
Report tabled: 29/11/2018","Final report
Response tabled: 1/4/2026"
Judiciary Amendment (Commonwealth Model Litigant Obligations) Bill 2017,Legal and Constitutional Affairs Legislation Committee,"Report presented: 7/12/2018
Report tabled: 12/2/2019","Response presented: 19/3/2026
Response tabled: 23/3/2026"
Jurisdiction of the Australian Commission for Law Enforcement Integrity,Parliamentary Joint Committee on the Australian Commission for Law Enforcement Integrity,Report tabled: 31/8/2016,"Response presented: 19/3/2026
Response tabled: 23/3/2026"
"Legislative exemptions that allow faith-based educational institutions to discriminate against students, teachers and staff",Legal and Constitutional Affairs References Committee,Report tabled: 26/11/2018,"Response presented: 19/3/2026
Response tabled: 23/3/2026"
Management and assurance of integrity by consulting services,Finance and Public Administration References Committee,"PwC: A calculated breach of trust
Report tabled: 21/6/2023
Final report
Report presented: 12/6/2024
Report tabled: 24/6/2024","Final report
Response presented: 23/1/2026
Response tabled: 3/2/2026"
Micro-competition opportunities,Economics References Committee,"Report presented: 21/11/2025
Report tabled: 24/11/2025",Response tabled: 24/3/2026
Middle Arm Industrial Precinct,Environment and Communications References Committee,Report tabled: 21/8/2024,Response tabled: 31/3/2026
Migration Amendment (Removal and Other Measures) Bill 2024,Legal and Constitutional Affairs Legislation Committee,"Report presented: 7/5/2024
Report tabled: 14/5/2024",Response tabled: 12/3/2026
Modern Slavery Amendment (Australian Anti-Slavery Commissioner) Bill 2023 [Provisions],Legal and Constitutional Affairs Legislation Committee,Report tabled: 28/2/2024,"Response presented: 19/3/2026
Response tabled: 23/3/2026"
National Anti-Corruption Commission Bills 2022,Joint Select Committee on National Anti-Corruption Commission Legislation,"Advisory report
Report presented: 10/11/2022
Report tabled: 21/11/2022","Response presented: 19/3/2026
Response tabled: 23/3/2026"
National Broadband Network Companies Amendment (Commitment to Public Ownership) Bill 2024,Environment and Communications Legislation Committee,Report tabled: 6/2/2025,"Response presented: 29/1/2026
Response tabled: 3/2/2026"
"National Capital Authority — Commonwealth Avenue Bridge, Canberra, ACT, Renewal project",Parliamentary Standing Committee on Public Works,"7th report of 2023
Report tabled: 17/10/2023",Response tabled: 14/5/2026
National Commissioner for Defence and Veteran Suicide Prevention Bill 2020 [provisions] and the National Commissioner for Defence and Veteran Suicide Prevention (Consequential Amendments) Bill 2020 [provisions],"Foreign Affairs, Defence and Trade Legislation Committee",Report tabled: 30/11/2020,"Response presented: 19/3/2026
Response tabled: 23/3/2026"
National Cultural Policy,Environment and Communications References Committee,"Interim report
Report presented: 9/5/2024
Report tabled: 14/5/2024","Response presented: 8/5/2026
Response tabled: 12/5/2026"
National Disability Insurance Scheme Amendment (Getting the NDIS Back on Track No. 1) Bill 2024,Community Affairs Legislation Committee,"Report presented: 9/8/2024
Report tabled: 12/8/2024",Response tabled: 14/5/2026
National Energy Transition Authority Bill 2022,Economics Legislation Committee,Report tabled: 24/3/2023,"Response presented: 18/6/2026
Response tabled: 22/6/2026"
National Integrity (Parliamentary Standards) Bill 2019,Finance and Public Administration Legislation Committee,"Report presented: 12/8/2020
Report tabled: 24/8/2020","Response presented: 19/3/2026
Response tabled: 23/3/2026"
National Organic Standard Bill 2024,Rural and Regional Affairs and Transport Legislation Committee,Report tabled: 11/2/2025,"Response presented: 23/4/2026
Response tabled: 12/5/2026"
National Volunteer Incentive Scheme (Climate Army),"Foreign Affairs, Defence and Trade References Committee",Report tabled: 6/11/2025,Response tabled: 25/6/2026
"Nature and scope of any agreement reached by the Commonwealth and Western Australian governments in relation to the distribution of proceeds of the liquidation of, and litigation concerning, the Bell Group of companies (the proceeds)",Legal and Constitutional Affairs References Committee,"Interim report
Report tabled: 22/3/2017
Final report
Report tabled: 21/6/2017","Response presented: 19/3/2026
Response tabled: 23/3/2026"
Nature Positive (Environment Information Australia) Bill 2024 and related bills,Environment and Communications Legislation Committee,Report tabled: 9/9/2024,"Response presented: 30/4/2026
Response tabled: 12/5/2026"
"NDIS participant experience in rural, regional and remote Australia",Joint Standing Committee on the National Disability Insurance Scheme,Report tabled: 6/11/2025,"Response presented: 21/5/2026
Response tabled: 22/6/2026"
Northern Australia Workforce Development,Joint Select Committee on Northern Australia,"First report
Report tabled: 30/11/2023
Final report
Report tabled: 28/11/2024","Response presented: 16/4/2026
Response tabled: 12/5/2026"
Offshore wind industry consultation process,Environment and Communications References Committee,"Report presented: 5/6/2025
Report tabled: 22/7/2025","Response presented: 21/5/2026
Response tabled: 22/6/2026"
Online Safety Amendment (Social Media Minimum Age) Bill 2024,Environment and Communications Legislation Committee,Report tabled: 26/11/2024,"Response presented: 18/6/2026
Response tabled: 22/6/2026"
Operation and appropriateness of the superannuation and pension schemes for current and former members of the Australian Defence Force (ADF),Finance and Public Administration References Committee,"Report presented: 19/3/2026
Report tabled: 23/3/2026",Response tabled: 1/7/2026
Opportunities and challenges of the engagement of traditional owners in the economic development of northern Australia,Joint Standing Committee on Northern Australia,Report tabled: 9/2/2022,Response tabled: 1/4/2026
"Oversight of ASIC, the Takeovers Panel and the Corporations Legislation",Parliamentary Joint Committee on Corporations and Financial Services,"Interim report - ASIC licence transfers
Report presented: 10/7/2023
Report tabled: 31/7/2023
Final report - Competition in clearing and settlement and the ASX CHESS Replacement Project
Report presented: 24/4/2024
Report tabled: 14/5/2024","Final report
Response presented: 27/2/2025
Response tabled: 25/3/2025
Interim report
Response tabled: 24/3/2026"
Performance and integrity of Australia’s administrative review system,Legal and Constitutional Affairs References Committee,"Interim report
Report presented: 31/3/2022
Report tabled: 26/7/2022
Final report
Report presented: 30/6/2022
Report tabled: 26/7/2022","Response presented: 19/3/2026
Response tabled: 23/3/2026"
Personal choice and community impacts,Economics References Committee,"Interim report
Report tabled: 4/5/2016
Sale and use of marijuana and associated products
Report tabled: 4/5/2016
Bicycle helmet laws
Report tabled: 4/5/2016
Western Sydney Wanderers supporters
Report tabled: 4/5/2016
Sale and use of tobacco, tobacco products, nicotine products and e-cigarettes
Report presented: 6/5/2016
Report tabled: 30/8/2016
Sale and service of alcohol
Report presented: 6/5/2016
Report tabled: 30/8/2016
Classification of publications, films and computer games
Report presented: 6/5/2016
Report tabled: 30/8/2016","Bicycle helmet laws
Response tabled: 8/8/2017
Sale and use of marijuana and associated products
Response tabled: 4/3/2026"
PJCHR Religious Discrimination Bill 2021 and related bills,Parliamentary Joint Committee on Human Rights,"Report presented: 4/2/2022
Report tabled: 8/2/2022","Response presented: 19/3/2026
Response tabled: 23/3/2026"
Press freedom,Environment and Communications References Committee,"Report presented: 19/5/2021
Report tabled: 15/6/2021","Response presented: 19/3/2026
Response tabled: 23/3/2026"
Privacy and Other Legislation Amendment Bill 2024,Legal and Constitutional Affairs Legislation Committee,"Report presented: 14/11/2024
Report tabled: 18/11/2024","Response presented: 7/5/2026
Response tabled: 12/5/2026"
Privacy Legislation Amendment (Enforcement and Other Measures) Bill 2022 [Provisions],Legal and Constitutional Affairs Legislation Committee,Report tabled: 22/11/2022,"Response presented: 19/3/2026
Response tabled: 23/3/2026"
"Public Governance, Performance and Accountability Amendment (Ban Unethical Contractors) Bill 2025",Finance and Public Administration Legislation Committee,Report tabled: 26/3/2026,"Response presented: 30/7/2026
Response tabled: 11/8/2026"
"Public Governance, Performance and Accountability Amendment (Vaccine Indemnity) Bill 2023",Finance and Public Administration Legislation Committee,Report tabled: 18/3/2024,"Response presented: 8/5/2026
Response tabled: 12/5/2026"
Public Interest Disclosure Amendment (Review) Bill 2022,Legal and Constitutional Affairs Legislation Committee,"Report presented: 14/3/2023
Report tabled: 20/3/2023","Response presented: 2/4/2026
Response tabled: 12/5/2026"
Quality of governance at Australian higher education providers,Education and Employment Legislation Committee,"Interim report
Report presented: 19/9/2025
Report tabled: 27/10/2025
Final report
Report presented: 11/12/2025
Report tabled: 19/1/2026",Response tabled: 30/6/2026
"Regulatory Activities: Inquiry into Auditor-General’s Reports 33, 47, 48 (2019-20) and 5 and 8 (2020-21)",Joint Committee of Public Accounts and Audit,"486th report
Report tabled: 1/9/2021",Response tabled: 25/6/2026
Religious Discrimination Bill 2021; Religious Discrimination (Consequential Amendments) Bill 2021 and Human Rights Legislation Amendment Bill 2021,Legal and Constitutional Affairs Legislation Committee,"Report presented: 4/2/2022
Report tabled: 8/2/2022","Response presented: 19/3/2026
Response tabled: 23/3/2026"
"Remuneration Tribunal Amendment (There For Public Service, Not Profit) Bill 2025",Finance and Public Administration Legislation Committee,"Report presented: 18/3/2026
Report tabled: 23/3/2026",Response tabled: 20/8/2026
Residential Electrification,Economics References Committee,"Report presented: 31/3/2025
Report tabled: 22/7/2025",Response tabled: 24/3/2026
Review of Stronger Futures in the Northern Territory Act 2012 and related legislation,Parliamentary Joint Committee on Human Rights,"2016 review of Stronger Futures measures
Report tabled: 16/3/2016",Response tabled: 1/4/2026
Review of the Australian Security Intelligence Organisation Amendment Bill (No. 2) 2025,Parliamentary Joint Committee on Intelligence and Security,"Advisory report
Report tabled: 5/2/2026","Response presented: 23/4/2026
Response tabled: 12/5/2026"
