inquiry,committee,report,response
Environment Protection and Biodiversity Conservation Amendment (Standards and Assurance) Bill 2021,Environment and Communications Legislation Committee,"Report presented: 8/6/2021
Report tabled: 15/6/2021","Response presented: 3/3/2022
Response tabled: 28/3/2022"
Environment Protection and Biodiversity Conservation Amendment (Streamlining Environmental Approvals) Bill 2020,Environment and Communications Legislation Committee,"Report presented: 27/11/2020
Report tabled: 30/11/2020","Response presented: 3/3/2022
Response tabled: 28/3/2022"
Extremist movements and radicalism in Australia,Parliamentary Joint Committee on Intelligence and Security,"Interim report
Report presented: 1/4/2022
Report tabled: 26/7/2022",Response tabled: 7/9/2022
"Federal Government’s response to the drought, and the adequacy and appropriateness of policies and measures to support farmers, regional communities and the Australian economy",Rural and Regional Affairs and Transport References Committee,Report tabled: 21/10/2021,"Response presented: 31/3/2022
Response tabled: 26/7/2022"
Financial Sector Reform (Hayne Royal Commission Response—Better Advice) Bill 2021 [Provisions],Economics Legislation Committee,"Report presented: 30/7/2021
Report tabled: 3/8/2021","Response presented: 16/2/2022
Response tabled: 28/3/2022"
Foreign investment proposals,Economics References Committee,"Greenfields, cash cows and the regulation of foreign investment in Australia
Report presented: 27/8/2021
Report tabled: 30/8/2021","Response presented: 4/4/2022
Response tabled: 26/7/2022"
"Governance in the stewardship of public resources: Inquiry into Auditor-General’s Reports 11, 31, 39 (2019-20) and 2 and 9 (2020-21)",Joint Committee of Public Accounts and Audit,"492nd report - Governance in the stewardship of public resources
Report presented: 12/4/2022
Report tabled: 26/7/2022",Response tabled: 28/11/2022
"Importance of a viable, safe, sustainable and efficient road transport industry",Rural and Regional Affairs and Transport References Committee,"Without trucks Australia stops
Report tabled: 25/8/2021",Response tabled: 30/3/2022
Mobile payment and digital wallet financial services,Parliamentary Joint Committee on Corporations and Financial Services,Report tabled: 23/11/2021,"Response presented: 25/1/2022
Response tabled: 8/2/2022"
National Landcare Program,Environment and Communications References Committee,Report tabled: 25/3/2015,"Response presented: 14/2/2022
Response tabled: 28/3/2022"
Online Safety Bill 2021 and a related bill,Environment and Communications Legislation Committee,"Report presented: 12/3/2021
Report tabled: 15/3/2021","Response presented: 3/11/2022
Response tabled: 21/11/2022"
"Phenomenon colloquially referred to as 'revenge porn', which involves sharing private sexual images and recordings of a person without their consent, with the intention to cause that person harm",Legal and Constitutional Affairs References Committee,Report tabled: 25/2/2016,"Response presented: 17/3/2022
Response tabled: 28/3/2022"
Regulation of the fin-fish aquaculture industry in Tasmania,Environment and Communications References Committee,"Report presented: 21/8/2015
Report tabled: 7/9/2015","Response presented: 14/2/2022
Response tabled: 28/3/2022"
Remediation of PFAS-related impacts ongoing scrutiny and review,"Joint Standing Committee on Foreign Affairs, Defence and Trade","First report
Report presented: 20/12/2019
Report tabled: 4/2/2020
Second progress report
Report tabled: 1/9/2020
Final report
Report tabled: 30/3/2022","Second progress report
Response presented: 20/1/2022
Response tabled: 8/2/2022"
Review of Administration and Expenditure No. 19 (2019–20) – Australian Intelligence Agencies,Parliamentary Joint Committee on Intelligence and Security,"Reviews of administration and expenditure no. 18 (2018-19) and no. 19 (2019-20): Australian intelligence agencies
Report tabled: 24/11/2021","Response presented: 3/3/2022
Response tabled: 28/3/2022"
Review of the National Security Legislation Amendment (Comprehensive Review and Other Measures No. 1) Bill 2021,Parliamentary Joint Committee on Intelligence and Security,"Report presented: 25/3/2022
Report tabled: 28/3/2022","Response presented: 17/11/2022
Response tabled: 21/11/2022"
Review of the re-listing of five organisations as terrorist organisations under the Criminal Code,Parliamentary Joint Committee on Intelligence and Security,"Al-Shabaab, Lashkar-e-Tayyiba, Palestinian Islamic Jihad, Hamas' Izz al-Din al-Qassam Brigades and the Kurdistan Workers' Party (PKK)
Report presented: 14/10/2021
Report tabled: 18/10/2021","Response presented: 7/4/2022
Response tabled: 26/7/2022"
Select Committee on Autism,Select Committee on Autism,"Services, support and life outcomes for autistic Australians
Report presented: 25/3/2022
Report tabled: 28/3/2022","Response presented: 8/12/2022
Response tabled: 6/2/2023"
Social Security Legislation Amendment (Community Development Program) Bill 2015,Finance and Public Administration Legislation Committee,Report tabled: 2/3/2016,"Response presented: 20/1/2022
Response tabled: 8/2/2022"
Social Security Legislation Amendment (Community Development Program) Bill 2018,Community Affairs Legislation Committee,"Social Security Legislation Amendment (Community Development Program) Bill 2018
Report presented: 12/10/2018
Report tabled: 15/10/2018","Response presented: 20/1/2022
Response tabled: 8/2/2022"
Territories Stolen Generations Redress Scheme (Facilitation) Bill 2021 [Provisions] and Territories Stolen Generations Redress Scheme (Consequential Amendments) Bill 2021 [Provisions],Finance and Public Administration Legislation Committee,"Report presented: 14/10/2021
Report tabled: 18/10/2021","Response presented: 16/12/2022
Response tabled: 6/2/2023"
US UK Exchange of Naval Nuclear Propulsion Information Agreement (ENNPIA),Joint Standing Committee on Treaties,"Agreement for the Exchange of Naval Nuclear Propulsion Information
Report tabled: 9/2/2022","Response presented: 24/3/2022
Response tabled: 28/3/2022"
