inquiry,committee,report,response
Corporations Amendment (Crowd-sourced Funding) Bill 2016 [Provisions],Economics Legislation Committee,Report tabled: 13/2/2017,"Response presented: 2/2/2018
Response tabled: 5/2/2018"
"Criminal, civil and administrative penalties for white collar crime",Economics References Committee,"'Lifting the fear and suppressing the greed': Penalties for white-collar crime and corporate and financial misconduct in Australia
Report tabled: 23/3/2017","Response presented: 4/5/2018
Response tabled: 8/5/2018"
Customs Amendment (Anti-Dumping Measures) Bill 2017,Economics Legislation Committee,"Report presented: 6/10/2017
Report tabled: 16/10/2017",Response tabled: 6/2/2018
Delivery of National Outcome 4 of the National Plan to Reduce Violence Against Women and Their Children,Finance and Public Administration References Committee,"Report presented: 15/12/2017
Report tabled: 5/2/2018","Response presented: 15/3/2018
Response tabled: 19/3/2018"
Delivery of outcomes under the National Disability Strategy 2010-2020 to build inclusive and accessible communities,Community Affairs References Committee,Report tabled: 29/11/2017,Response tabled: 22/3/2018
Economic security for women in retirement,Economics References Committee,"'A husband is not a retirement plan' - Achieving economic security for women in retirement
Report presented: 29/4/2016
Report tabled: 2/5/2016",Response tabled: 16/8/2018
Effect of market consolidation on the red meat processing sector,Rural and Regional Affairs and Transport References Committee,"Interim report
Report tabled: 4/5/2016","Response to interim report tabled in the 44th Parliament, and final report tabled in the 45th Parliament
Response presented: 17/12/2018
Response tabled: 12/2/2019"
Effect of red tape on child care,Red Tape Committee,"Sixth interim report
Report tabled: 15/8/2018",Response tabled: 15/11/2018
Effect of red tape on environmental assessment and approvals,Red Tape Committee,"Third interim report
Report tabled: 18/10/2017","Response presented: 13/7/2018
Response tabled: 13/8/2018"
Effect of red tape on occupational licensing,Red Tape Committee,"Seventh interim report
Report tabled: 15/8/2018",Response tabled: 15/11/2018
Effectiveness of current regulatory arrangements in dealing with the simultaneous transmission of radio programs using the broadcasting services bands and the Internet ('simulcast'),Environment and Communications References Committee,"Report presented: 12/7/2013
Report tabled: 12/11/2013","Response presented: 9/3/2018
Response tabled: 19/3/2018"
Effectiveness of special arrangements for the supply of Pharmaceutical Benefits Scheme (PBS) medicines to remote area Aboriginal Health Services,Community Affairs References Committee,Report tabled: 11/10/2011,Response tabled: 20/3/2018
"Effectiveness of the Aged Care Quality Assessment and accreditation framework for protecting residents from abuse and poor practices, and ensuring proper clinical and medical care standards are maintained and practised",Community Affairs References Committee,"Interim report
Report tabled: 13/2/2018
Final report
Report tabled: 3/4/2019","Interim report
Response tabled: 26/6/2018
Final report
Response presented: 25/6/2020
Response tabled: 24/8/2020"
Electoral Legislation Amendment (Electoral Funding and Disclosure Reform) Bill 2017,Joint Standing Committee on Electoral Matters,"Advisory report
Report presented: 9/4/2018
Report tabled: 8/5/2018
Second advisory report
Report tabled: 15/10/2018","First and second advisory reports and second interim report to the inquiry into the 2016 Federal Election
Response tabled: 14/11/2018"
Examination of the Foreign Investment Review Board National Interest Test,Rural and Regional Affairs and Transport References Committee,"Foreign Investment and the National Interest
Report tabled: 26/6/2013","Response presented: 10/8/2018
Response tabled: 13/8/2018
Addendum
Response tabled: 16/8/2018"
Extradition - Jordan,Joint Standing Committee on Treaties,"177th report---Extradition - Jordan; Mutual Legal Assistance - Jordan
Report tabled: 20/3/2018","Response presented: 7/8/2018
Response tabled: 13/8/2018"
Foreign Acquisitions and Takeovers Legislation Amendment Bill 2015 and related bills,Economics Legislation Committee,Report tabled: 14/10/2015,"Response presented: 10/8/2018
Response tabled: 13/8/2018"
Funding for Research into Cancers with Low Survival Rates,Select Committee into Funding for Research into Cancers with Low Survival Rates,Report tabled: 28/11/2017,Response tabled: 15/11/2018
Future of Australia's aged care sector workforce,Community Affairs References Committee,Report tabled: 20/6/2017,Response tabled: 26/6/2018
Future of Australia's video game development industry,Environment and Communications References Committee,"Game on: more than playing around
Report presented: 29/4/2016
Report tabled: 2/5/2016","Response presented: 31/1/2018
Response tabled: 5/2/2018"
Future of Public Interest Journalism,Select Committee on the Future of Public Interest Journalism,Report tabled: 5/2/2018,Response tabled: 23/8/2018
Future of rugby union in Australia,Community Affairs References Committee,Report tabled: 15/11/2017,"Response presented: 17/5/2018
Response tabled: 18/6/2018"
Gender segregation in the workplace and its impact on women's economic equality,Finance and Public Administration References Committee,"Report presented: 7/6/2017
Report tabled: 13/6/2017","Response presented: 16/7/2018
Response tabled: 13/8/2018"
General issues around the implementation and performance of the NDIS,Joint Standing Committee on the National Disability Insurance Scheme,"First progress report
Report tabled: 7/9/2017
Second progress report
Report presented: 29/3/2019
Report tabled: 2/4/2019","First progress report
Response tabled: 28/3/2018
Second progress report
Response presented: 24/3/2020
Response tabled: 8/4/2020"
Growth potential in Australia's trade and investment relationship with Indonesia,Joint Standing Committee on Trade and Investment Growth,"Leveraging our advantages: The trade relationship between Australia and Indonesia
Report tabled: 20/6/2017",Response tabled: 28/3/2018
Health,Select Committee on Health,"First interim report
Report tabled: 2/12/2014
Second interim report
Report tabled: 24/6/2015
Australian Hearing: Too important to privatise - Third interim report
Report tabled: 17/9/2015
Mental health: a consensus for action - Fourth interim report
Report presented: 8/10/2015
Report tabled: 12/10/2015
Black Lung: ""It has buggered my life"" - Fifth interim report
Report presented: 28/4/2016
Report tabled: 2/5/2016
Big health data: Australia's big potential - Sixth interim report
Report tabled: 4/5/2016
Final report - Hospital funding cuts: the perfect storm. The demolition of Federal-State health relations 2014-2016
Report presented: 5/5/2016
Report tabled: 30/8/2016","First interim report
Response tabled: 5/12/2017
Third interim report
Response presented: 25/7/2018
Response tabled: 13/8/2018
Fifth interim report
Response presented: 7/2/2019
Response tabled: 12/2/2019
Fourth interim report
Response presented: 3/10/2024
Response tabled: 8/10/2024
Sixth interim report
Response presented: 3/10/2024
Response tabled: 8/10/2024
Final report
Response presented: 3/10/2024
Response tabled: 8/10/2024"
Health Services,Red Tape Committee,"Effect of red tape on health services - Fifth interim report
Report tabled: 28/3/2018","Response presented: 19/12/2018
Response tabled: 12/2/2019"
Impact of Defence training activities and facilities on rural and regional communities,"Foreign Affairs, Defence and Trade References Committee","First interim report
Report tabled: 14/8/2017
Second interim report
Report tabled: 11/9/2017
Third interim report
Report tabled: 19/10/2017
Fourth interim report
Report tabled: 13/2/2018
Final report
Report presented: 11/5/2018
Report tabled: 18/6/2018","Final report
Response tabled: 13/11/2018
First interim report
Response tabled: 25/6/2024
Second interim report
Response tabled: 25/6/2024
Third interim report
Response tabled: 25/6/2024
Fourth interim report
Response tabled: 25/6/2024"
Increasing use of so-called Flag of Convenience shipping in Australia,Rural and Regional Affairs and Transport References Committee,"Final report
Report presented: 19/7/2017
Report tabled: 8/8/2017","Final report
Response tabled: 19/6/2018"
Management of the Murray-Darling Basin,Rural and Regional Affairs and Transport References Committee,"Impact of mining coal seam gas on the management of the Murray Darling Basin - Interim report
Report presented: 30/11/2011
Report tabled: 7/2/2012
The Basin Plan - Second interim report
Report presented: 3/10/2012
Report tabled: 9/10/2012
Final report
Report tabled: 13/3/2013","Second interim report
Response presented: 31/5/2013
Response tabled: 17/6/2013
Final report
Response presented: 4/4/2018
Response tabled: 8/5/2018
Interim report
Response presented: 23/5/2024
Response tabled: 24/6/2024"
Migrant settlement outcomes,Joint Standing Committee on Migration,"No one teaches you to become an Australian
Report presented: 11/12/2017
Report tabled: 5/2/2018",Response tabled: 27/6/2018
Migration and Other Legislation Amendment (Enhanced Integrity) Bill 2017,Legal and Constitutional Affairs Legislation Committee,Report tabled: 17/10/2017,Response tabled: 20/3/2018
Modern Slavery Bill 2018,Legal and Constitutional Affairs Legislation Committee,"Report presented: 24/8/2018
Report tabled: 10/9/2018",Response tabled: 13/11/2018
National Redress Scheme for Institutional Child Sexual Abuse Bill 2018 and National Redress Scheme for Institutional Child Sexual Abuse (Consequential Amendments) Bill 2018,Community Affairs Legislation Committee,"Report presented: 15/6/2018
Report tabled: 18/6/2018","Response presented: 25/7/2018
Response tabled: 13/8/2018"
Non-conforming building products,Economics References Committee,"Aluminium composite cladding - interim report
Report tabled: 6/9/2017
Interim report
Report presented: 26/10/2017
Report tabled: 13/11/2017
Protecting Australians from the threat of asbestos - interim report
Report presented: 22/11/2017
Report tabled: 27/11/2017
The need for a coherent and robust regulatory regime
Report tabled: 4/12/2018","Aluminium composite cladding - interim report
Response tabled: 13/2/2018
Protecting Australians from the threat of asbestos - interim report
Response tabled: 21/8/2018
The need for a coherent and robust regulatory regime
Response presented: 23/4/2020
Response tabled: 12/5/2020"
Number of women in Australia who have had transvaginal mesh implants and related matters,Community Affairs References Committee,Report tabled: 28/3/2018,"Response presented: 10/10/2018
Response tabled: 15/10/2018
Final report on the government response
Response presented: 29/7/2021
Response tabled: 3/8/2021"
"Operation, regulation and funding of private vocational education and training (VET) providers in Australia",Education and Employment References Committee,"Getting our money's worth
Report tabled: 15/10/2015",Response tabled: 7/2/2018
Penalty Rates,Education and Employment References Committee,"Report presented: 4/10/2017
Report tabled: 16/10/2017","Response presented: 30/1/2018
Response tabled: 5/2/2018"
Potential areas for further reform of Australia's broadcasting legislation,Joint Select Committee on Broadcasting Legislation,"Three broadcasting reform proposals
Report tabled: 24/6/2013","Response presented: 9/3/2018
Response tabled: 19/3/2018"
"Prevention, investigation and prosecution of industrial deaths in Australia",Education and Employment References Committee,"They never came home - the framework surrounding the prevention, investigation and prosecution of industrial deaths in Australia
Report tabled: 17/10/2018","Response presented: 20/12/2018
Response tabled: 12/2/2019"
Printing standards for documents presented to Parliament,Joint Committee on Publications,Report tabled: 5/12/2017,Response tabled: 13/11/2018
"Proposed fit-out and relocation of the Australian Cyber Security Centre, Canberra, ACT",Parliamentary Standing Committee on Public Works,"2nd report of 2017 - Referrals made November and December 2016
Report tabled: 28/3/2017",Response tabled: 20/3/2018
Provision of services under the NDIS Early Childhood Early Intervention Approach,Joint Standing Committee on the National Disability Insurance Scheme,Report tabled: 6/2/2018,"Response presented: 3/5/2018
Response tabled: 8/5/2018"
Provision of services under the NDIS for people with psychosocial disabilities related to a mental health condition,Joint Standing Committee on the National Disability Insurance Scheme,Report tabled: 15/8/2017,"Response presented: 2/3/2018
Response tabled: 19/3/2018"
"Regulatory requirements that impact on the safe use of Remotely Piloted Aircraft Systems, Unmanned Aerial Systems and associated systems.",Rural and Regional Affairs and Transport References Committee,"Report presented: 31/7/2018
Report tabled: 13/8/2018",Response tabled: 27/11/2018
Report on the 2015-2016 annual reports of bodies established under the ASIC Act,Parliamentary Joint Committee on Corporations and Financial Services,Report tabled: 14/6/2017,Response tabled: 19/6/2018
Report on the 2016-2017 annual reports of bodies established under the ASIC Act,Parliamentary Joint Committee on Corporations and Financial Services,"Report presented: 26/7/2018
Report tabled: 13/8/2018",Response tabled: 13/11/2018
Reprocessing Nuclear Fuel - France,Joint Standing Committee on Treaties,"179th report---Reprocessing Nuclear Fuel - France; PACER Plus
Report tabled: 9/5/2018","Response presented: 18/12/2018
Response tabled: 12/2/2019"
Reserve Bank Amendment (Australian Reconstruction and Development Board) Bill 2013,Economics Legislation Committee,"Report presented: 31/3/2015
Report tabled: 11/5/2015","Response presented: 10/8/2018
Response tabled: 13/8/2018"
"Review of police stop, search and seizure powers, the control order regime and the preventative detention order regime",Parliamentary Joint Committee on Intelligence and Security,"Division 3A of Part IAA of the Crimes Act 1914; Divisions 104 and 105 of the Criminal Code
Report tabled: 20/3/2018
Division 3A of Part IAA of the Crimes Act 1914; Divisions 104, 105 and 105A of the Criminal Code Act 1995
Report presented: 14/10/2021
Report tabled: 18/10/2021",Response tabled: 19/6/2018
Review of the 'declared area' provisions,Parliamentary Joint Committee on Intelligence and Security,"Sections 119.2 and 119.3 of the Criminal Code
Report tabled: 20/3/2018","Review of the 'declared area' provisions; Independent National Security Legislation Monitor (INSLM) - Control order safeguards (Parts 1 and 2) Addendum; Third INSLM Reports nos 1, 2 and 3
Response tabled: 19/6/2018"
Review of the Defence Annual Report 2015-16,"Joint Standing Committee on Foreign Affairs, Defence and Trade",Report tabled: 7/12/2017,Response tabled: 15/8/2018
Review of the Foreign Influence Transparency Scheme Bill 2017,Parliamentary Joint Committee on Intelligence and Security,"Advisory report
Report tabled: 26/6/2018",Response tabled: 26/6/2018
Review of the National Security Legislation Amendment (Espionage and Foreign Interference) Bill 2017,Parliamentary Joint Committee on Intelligence and Security,"Advisory report
Report presented: 7/6/2018
Report tabled: 18/6/2018",Response tabled: 26/6/2018
Review of the Security of Critical Infrastructure Bill 2017,Parliamentary Joint Committee on Intelligence and Security,"Advisory report
Report presented: 15/3/2018
Report tabled: 19/3/2018",Response tabled: 28/3/2018
Rollout of the National Broadband Network,Joint Standing Committee on the National Broadband Network,"1st report of the 45th Parliament
Report presented: 29/9/2017
Report tabled: 16/10/2017","Response presented: 16/1/2018
Response tabled: 5/2/2018"
Selection process for a national radioactive waste management facility in South Australia,Economics References Committee,Report tabled: 14/8/2018,Response tabled: 15/11/2018
Social Security - New Zealand,Joint Standing Committee on Treaties,"170th report---Social Security Agreement - New Zealand; Nuclear Research Cooperation Agreement; Loan Agreement - International Monetary Fund; Harmonization of Wheeled Vehicles - Revision
Report tabled: 10/5/2017","Government response relating to additional comments concerning the Regional Co-operative Agreement for Research, Development and Training Related to Nuclear Science and Technology
Response presented: 29/3/2018
Response tabled: 8/5/2018"
Social Services Legislation Amendment (Drug Testing Trial) Bill 2018,Community Affairs Legislation Committee,"Report presented: 7/5/2018
Report tabled: 8/5/2018",Response tabled: 14/8/2018
Social Services Legislation Amendment (Family Payments Structural Reform and Participation Measures) Bill 2015,Community Affairs Legislation Committee,Report tabled: 30/11/2015,"Response presented: 2/3/2018
Response tabled: 19/3/2018"
Social Services Legislation Amendment (Housing Affordability) Bill 2017,Community Affairs Legislation Committee,Report tabled: 6/12/2017,Response tabled: 17/10/2018
Social Services Legislation Amendment (Payment Integrity) Bill 2017,Community Affairs Legislation Committee,Report tabled: 7/9/2017,Response tabled: 22/3/2018
Social Services Legislation Amendment (Welfare Reform) Bill 2017,Community Affairs Legislation Committee,Report tabled: 6/9/2017,Response tabled: 26/6/2018
Strategic importance of the Indian Ocean Territories,Joint Standing Committee on the National Capital and External Territories,Report tabled: 12/9/2017,Response tabled: 19/6/2018
Technical and further education in Australia,Education and Employment References Committee,Report tabled: 14/5/2014,Response tabled: 7/2/2018
Telecommunications Legislation Amendment (Competition and Consumer) Bill 2017 and Telecommunications (Regional Broadband Scheme) Charge Bill 2017,Environment and Communications Legislation Committee,Report tabled: 6/9/2017,"Response presented: 25/1/2018
Response tabled: 5/2/2018"
The effect of market consolidation on the red meat processing sector,Rural and Regional Affairs and Transport References Committee,"Final report
Report tabled: 12/9/2017","Response to interim report tabled in the 44th Parliament, and final report tabled in the 45th Parliament
Response presented: 17/12/2018
Response tabled: 12/2/2019"
The provision of hearing services under the National Disability Insurance Scheme (NDIS),Joint Standing Committee on the National Disability Insurance Scheme,"Interim report
Report tabled: 14/9/2017
Final report
Report tabled: 26/6/2018","Interim report
Response presented: 2/3/2018
Response tabled: 19/3/2018
Final report
Response tabled: 13/11/2018"
Transitional arrangements for the NDIS,Joint Standing Committee on the National Disability Insurance Scheme,Report tabled: 15/2/2018,Response tabled: 19/6/2018
Treasury Laws Amendment (Personal Income Tax Plan) Bill 2018,Economics Legislation Committee,Report tabled: 18/6/2018,"Response presented: 10/12/2018
Response tabled: 12/2/2019"
Value and affordability of private health insurance and out-of-pocket medical costs,Community Affairs References Committee,"Report presented: 19/12/2017
Report tabled: 5/2/2018","Response presented: 19/12/2018
Response tabled: 12/2/2019"
