id,stated_recommendations,distinct_rec_numbers,gap,classification,chars,tabled,department,title,url
6054,15,0,15,proforma_closure,2563,2024-05-16,Department of Education,Australian Government Response - Inquiry into Funding Australia's Research,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/6054
8727,15,2,13,substantive,77867,2024-12-12,Department of Health and Aged Care,AUSTRALIAN GOVERNMENT RESPONSE TO THE SENATE COMMUNITY AFFAIRS REFERENCES COMMITTEE REPORT: ASSESSMENT AND SUPPORT SERVICES FOR PEOPLE WITH ATTENTION DEFICIT HYPERACTIVITY DISORDER (ADHD),https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/8727
15891,13,1,12,substantive,40186,2026-04-01,"Department of Industry, Science and Resources",Australian Government response to the Senate Select Committee on Adopting Artificial Intelligence (AI) report: Final Report and Interim Report,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15891
15889,14,3,11,substantive,18490,2026-04-01,Department of Social Services,Australian Government response to the Senate Community Affairs References Committee report - Inquiry into the extent and nature of poverty in Australia,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15889
11618,12,2,10,substantive,1851,2025-07-24,Department of Defence,"Australian Government response to the  Joint Standing Committee on Foreign Affairs, Defence and Trade report: Inquiry into the Department of Defence Annual Report 2021-22",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/11618
10128,12,2,10,substantive,2740,2025-03-27,Department of Defence,Government Response to the JSCFADT Inquiry into the Department of Defence Annual Report 2021–22,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/10128
12527,21,14,7,substantive,40772,2023-08-03,,"Australian Government response to the House Standing Committee on Health, Aged Care and Sport report: Bedtime reading: Inquiry into sleep health awareness in Australia [August 2023]",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/12527
9080,18,11,7,substantive,12368,2025-01-23,"Department of Infrastructure, Transport, Regional Developmen",Australian Government response to the Senate Environment and Communications References Committee's report: Optus Network Outage,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/9080
9326,40,36,4,substantive,111871,2025-02-11,Department of Health and Aged Care,"Ending the postcode lottery – Addressing barriers to sexual, maternity and reproductive healthcare in Australia",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/9326
15843,13,9,4,substantive,24457,2026-03-31,Department of Home Affairs,Australian Government response to the Senate Legal and Constitutional Affairs References Committee report: Right Wing Extremist Movements in Australia,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15843
15607,10,6,4,substantive,19161,2026-03-24,Department of Education,Australian Government response to the Parliamentary Joint Committee on Human Rights Inquiry Report into Antisemitism at Australian Universities,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15607
12529,24,21,3,substantive,52726,2023-10-18,,"Australian Government response to the House Standing Committee on Health, Aged Care and Sport report—Walking the allergy tightrope: Addressing the rise of allergies and anaphylaxis in Australia [April 2023]",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/12529
8583,32,30,2,substantive,74732,2024-12-05,Department of Health and Aged Care,"Australian Government Response To The Senate Community Affairs References Committee Report: Effective Approaches To Prevention, Diagnosis And Support For Fetal Alcohol Spectrum Disorder",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/8583
5930,3,1,2,proforma_closure,2530,2024-05-14,,Australian Government response to the Senate Finance and Public Administration Legislation Committee report: Commonwealth Electoral Amendment (Donation Reform and Other Measures) Bill 2020,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5930
6540,33,33,0,substantive,149657,2024-06-27,,Australian Government response to the Senate Select Committee on Work and Care Reports: Final Report (9 March 2023) Interim Report (18 October 2022) [June 2024],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/6540
15205,29,29,0,substantive,40621,2026-03-04,Department of Social Services,Australian Government response to the Joint Standing Committee on Implementation of the National Redress Scheme inquiry into the operation of the National Redress Scheme Report - Redress: Journey to Justice - November 2024,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15205
1324,27,27,0,substantive,26194,2023-03-07,,Australian Government response to the Parliamentary Joint Committee on Intelligence and Security report: National security risks affecting the Australian higher education and research sector [February 2023],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/1324
12658,26,26,0,substantive,82615,2023-03-30,,Australian Government response to the House of Representatives Select Committee on Social Media and Online Safety report—Social Media and Online Safety,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/12658
9325,25,25,0,substantive,55824,2025-02-11,Department of Health and Aged Care,Australian Government response to the Senate Community Affairs References Committee report: Issues related to menopause and perimenopause,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/9325
16386,23,23,0,substantive,59560,2026-05-14,"Department of Industry, Science and Resources","Australian Government response to the House of Representatives Standing Committee on Industry, Innovation and Science report: Food for Thought: The opportunities and challenges for Australia's food and beverage manufacturing",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/16386
15449,22,22,0,substantive,54419,2026-03-11,"Department of Health, Disability and Ageing",Australian Government response to the House of Representatives Standing Committee on Social Policy and Legal Affairs report: Inquiry into the recognition of unpaid carers.,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15449
17294,21,21,0,substantive,51174,2026-07-16,Department of Employment and Workplace Relations,"Australian Government response to the final report of the Secure Jobs, Better Pay Review",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/17294
16816,17,17,0,substantive,38210,2026-06-30,Department of Education,Australian Government Response the Senate Education and Employment Committee reports: Quality of governance at Australian higher education providers,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/16816
15837,14,14,0,substantive,40153,2026-03-31,,Response to order of 25 March 2026 (455) relating to Environment and Communications References Committee - Government response - Algal blooms in South Australia,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15837
6558,14,14,0,substantive,22340,2024-06-27,,"Australian Government response to the Parliamentary Joint Committee on Intelligence and Security report: Review into the operation, effectiveness and implications of the Foreign Influence Transparency Scheme Act 2018 [June 2024]",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/6558
12354,11,11,0,substantive,35011,2025-09-01,Attorney-General's Department,Standing Committee on Social Policy and Legal Affairs Inquiry into Family Violence Orders—Government response,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/12354
17143,10,10,0,substantive,18244,2026-07-01,Department of Defence,Australian Government Response to the inquiry into the operation and appropriateness of the superannuation and pension schemes for current and former members of the Australian Defence Force (ADF),https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/17143
8487,10,10,0,substantive,36425,2024-11-27,"Department of Industry, Science and Resources","Australian Government response to the House of Representatives Standing Committee on Industry, Science and Resources report: Sovereign, smart, sustainable - Driving advanced manufacturing in Australia",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/8487
5919,10,10,0,proforma_closure,6653,2024-05-14,,Australian Government response to the House Standing Committee on Agriculture and Water Resources report: Aussie logs for Aussie jobs: Inquiry into timber supply chain constraints in the Australian plantation sector,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5919
2736,9,9,0,substantive,23795,2023-07-06,,Australian Government response to the Joint Standing Committee on Aboriginal and Torres Strait Islander Affairs report: Inquiry into community safety support services and job opportunities in the Northern Territory [June 2023],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/2736
13688,3,3,0,substantive,10424,2025-11-18,"Infrastructure, Transport, Regional Development, Communicati",Australian Government Response to the Select Committee on PFAS' Interim Report,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/13688
1743,3,3,0,substantive,8205,2023-05-09,,Australian Government Response to the Parliamentary Joint Committee on Corporations and Financial Services Inquiry report: Regulation of the use of financial services such as credit cards and digital wallets for online gambling in Australia [May 2023],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/1743
6805,35,36,-1,substantive,48751,2024-07-18,Department of Health and Aged Care,Australian Government response to the Senate Select Committee into the Provision of and Access to Dental Services in Australia Report,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/6805
5418,26,27,-1,substantive,47264,2024-03-20,,Australian Government Response to the Joint Standing Committee on the National Disability Insurance Scheme Final Report Inquiry into the Capability and Culture of the National Disability Insurance Agency (NDIA) [March 2024],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5418
2845,2,3,-1,substantive,7459,2023-07-20,,Australian Government response to the Senate Standing Committee on Community Affairs Legislation: Social Security (Administration) Amendment (Repeal of Cashless Debit Card and Other Measures) Bill 2022 [July 2023],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/2845
16278,8,10,-2,substantive,12209,2026-05-12,Department of Education,Australian Government Response to the Senate Education and Employment Legislation Committee Report on the Education Services for Overseas Students (Quality and Integrity) Bill 2024 [Provisions],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/16278
16383,6,8,-2,proforma_closure,10197,2026-05-14,Department of Foreign Affairs and Trade,"Australian Government response to the Senate References Committee on Foreign Affairs, Defence and Trade interim and final reports: Australia’s engagement in Afghanistan",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/16383
5743,1,3,-2,substantive,4877,2024-05-02,,Australian Government response to the Senate Community Affairs References Committee report: Review of legislative instruments made under Part 3AA or Part 3B of the Social Security (Administration) Act 1999 – Review 1 [May 2024],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5743
16804,15,22,-7,substantive,41340,2026-06-18,"Department of Climate Change, Energy, the Environment and Wa",Australian Government response to the Select Committee on Energy Planning and Regulation in Australia Final Report,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/16804
14707,12,22,-10,substantive,36878,2026-01-23,Department of Finance,Australian Government response to the Finance and Public Administration References Committee report on management and assurance of integrity by consulting services,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/14707
15400,8,26,-18,substantive,61796,2026-03-05,"Infrastructure, Transport, Regional Development, Communicati","Australian Government response to the House of Representatives Standing Committee on Regional  Development, Infrastructure and Transport report: Inquiry into the implications of severe weather events on the national regional, rural and remote road network.",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15400
2910,3,21,-18,substantive,41340,2023-07-27,,Australian Government response to the Second Interim Report of the Joint Select Committee on Implementation of the National Redress Scheme [July 2023],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/2910
